number,title,recommended_use,jpg_filename,webp_filename,dimensions
1,Smiling Patient Hero,Homepage hero support visual,radiance-smiling-patient-hero.jpg,radiance-smiling-patient-hero.webp,2200x1749
2,Hair Transplant,Premium service card,radiance-hair-transplant-service.jpg,radiance-hair-transplant-service.webp,1800x1450
3,Laser Hair Removal,Premium service card,radiance-laser-hair-removal-service.jpg,radiance-laser-hair-removal-service.webp,1800x1459
4,Acne Scar Treatment,Premium service card,radiance-acne-scar-service.jpg,radiance-acne-scar-service.webp,1800x1431
5,Botox and Fillers,Premium service card,radiance-botox-fillers-service.jpg,radiance-botox-fillers-service.webp,1800x1261
6,Pigmentation and Melasma,Premium service card,radiance-pigmentation-melasma-service.jpg,radiance-pigmentation-melasma-service.webp,1800x1265
7,Skin Rejuvenation,Premium service card,radiance-skin-rejuvenation-service.jpg,radiance-skin-rejuvenation-service.webp,1800x1281
8,PRP Hair Therapy,Premium service card,radiance-prp-hair-therapy-service.jpg,radiance-prp-hair-therapy-service.webp,1800x1286
9,Anti Ageing,Premium service card,radiance-anti-ageing-service.jpg,radiance-anti-ageing-service.webp,1800x1261
10,Skin Category,Treatment-tab background,radiance-skin-category.jpg,radiance-skin-category.webp,1800x747
11,Hair Category,Treatment-tab background,radiance-hair-category.jpg,radiance-hair-category.webp,1800x757
12,Laser Category,Treatment-tab background,radiance-laser-category.jpg,radiance-laser-category.webp,1800x795
13,Aesthetics Category,Treatment-tab background,radiance-aesthetics-category.jpg,radiance-aesthetics-category.webp,1800x708
14,Hair Fall,Educational condition card,radiance-hair-fall-condition.jpg,radiance-hair-fall-condition.webp,1800x1539
15,Acne,Educational condition card,radiance-acne-condition.jpg,radiance-acne-condition.webp,1800x1551
16,Dark Circles,Educational condition card,radiance-dark-circles-condition.jpg,radiance-dark-circles-condition.webp,1800x1551
17,Open Pores,Educational condition card,radiance-open-pores-condition.jpg,radiance-open-pores-condition.webp,1800x1729
18,Under-eye Rejuvenation,Aesthetic treatment card,radiance-under-eye-rejuvenation.jpg,radiance-under-eye-rejuvenation.webp,1800x1551
19,Bridal Dermatology,Aesthetic treatment card,radiance-bridal-dermatology.jpg,radiance-bridal-dermatology.webp,1800x1406
