query,previous_url,current_url,previous_clicks,current_clicks,previous_impressions,current_impressions,previous_position,current_position,position_change,previous_ctr,current_ctr,ranking_tracker_status,google_index_status,problem_type,recommended_action,priority,target_page,ctr_change_percentage_points,mapping_evidence,window,checked_at,source
radiance skin & hair clinics,,,55,44,955,872,5.8,6,0.2,5.8%,5%,,URL_INSPECTION_REQUIRED; query visibility is not index status,CTR_OR_DEMAND_LOSS,Inspect exact query-page mapping and snippet before changing winning title; monitor clicks not sitewide average position,P0,/hair-loss-clinic-bhubaneswar,-0.8,NOT_JOINED: retrieve exact query Pages report,Last 28 complete days compared with previous 28 days; latest complete data through 2026-09-15. Exact custom-date dialog unavailable; retain native report-window labels.,2026-09-18,Authenticated Google Search Console performance UI; Web; all devices/countries; CSV download blocked by Chrome ERR_BLOCKED_BY_CLIENT. Query rows transcribed from rendered table. Unknown page mappings are intentionally blank.
hair transplant bhubaneswar,,,11,8,351,378,6.9,5.7,-1.2,3.1%,2.1%,,URL_INSPECTION_REQUIRED; query visibility is not index status,CTR_OR_DEMAND_LOSS,Inspect exact query-page mapping and snippet before changing winning title; monitor clicks not sitewide average position,P0,/hair-transplant-bhubaneswar,-1,NOT_JOINED: retrieve exact query Pages report,Last 28 complete days compared with previous 28 days; latest complete data through 2026-09-15. Exact custom-date dialog unavailable; retain native report-window labels.,2026-09-18,Authenticated Google Search Console performance UI; Web; all devices/countries; CSV download blocked by Chrome ERR_BLOCKED_BY_CLIENT. Query rows transcribed from rendered table. Unknown page mappings are intentionally blank.
radiance skin and hair clinic bhubaneswar,,,11,8,79,61,1.2,1,-0.2,13.9%,13.1%,,URL_INSPECTION_REQUIRED; query visibility is not index status,CTR_OR_DEMAND_LOSS,Inspect exact query-page mapping and snippet before changing winning title; monitor clicks not sitewide average position,P0,/hair-loss-clinic-bhubaneswar,-0.8,NOT_JOINED: retrieve exact query Pages report,Last 28 complete days compared with previous 28 days; latest complete data through 2026-09-15. Exact custom-date dialog unavailable; retain native report-window labels.,2026-09-18,Authenticated Google Search Console performance UI; Web; all devices/countries; CSV download blocked by Chrome ERR_BLOCKED_BY_CLIENT. Query rows transcribed from rendered table. Unknown page mappings are intentionally blank.
hair transplant in bhubaneswar,https://www.radianceclinics.com/,https://www.radianceclinics.com/,17,6,616,635,7.6,6.2,-1.4,2.8%,0.9%,,URL_INSPECTION_REQUIRED; query visibility is not index status,CTR_OR_DEMAND_LOSS,Inspect exact query-page mapping and snippet before changing winning title; monitor clicks not sitewide average position,P0,/hair-transplant-bhubaneswar,-1.9,Exact-query Pages: homepage 6 vs 16 clicks; 607 vs 574 impressions; CTR 1% vs 2.8%; page position 3.8 vs 3.3. Query aggregate 6.2 vs 7.6 is not this page's position. Commercial page 23 impressions/position 47.3; FUE page 8/51.5. Preserve winning homepage URL/title; ownership consolidation requires monitoring.,Last 28 complete days compared with previous 28 days; latest complete data through 2026-09-15. Exact custom-date dialog unavailable; retain native report-window labels.,2026-09-18,Authenticated Google Search Console performance UI; Web; all devices/countries; CSV download blocked by Chrome ERR_BLOCKED_BY_CLIENT. Query rows transcribed from rendered table. Unknown page mappings are intentionally blank.
best hair transplant clinic in bhubaneswar,,,4,3,323,223,8.9,15.6,6.7,1.2%,1.3%,,URL_INSPECTION_REQUIRED; query visibility is not index status,RANKING_DECLINE,Inspect exact query-page mapping and snippet before changing winning title; monitor clicks not sitewide average position,P1,/hair-transplant-bhubaneswar,0.1,NOT_JOINED: retrieve exact query Pages report,Last 28 complete days compared with previous 28 days; latest complete data through 2026-09-15. Exact custom-date dialog unavailable; retain native report-window labels.,2026-09-18,Authenticated Google Search Console performance UI; Web; all devices/countries; CSV download blocked by Chrome ERR_BLOCKED_BY_CLIENT. Query rows transcribed from rendered table. Unknown page mappings are intentionally blank.
best hair transplant in bhubaneswar,,,6,2,350,297,15.9,14.7,-1.2,1.7%,0.7%,,URL_INSPECTION_REQUIRED; query visibility is not index status,CTR_OR_DEMAND_LOSS,Inspect exact query-page mapping and snippet before changing winning title; monitor clicks not sitewide average position,P0,/hair-transplant-bhubaneswar,-1,NOT_JOINED: retrieve exact query Pages report,Last 28 complete days compared with previous 28 days; latest complete data through 2026-09-15. Exact custom-date dialog unavailable; retain native report-window labels.,2026-09-18,Authenticated Google Search Console performance UI; Web; all devices/countries; CSV download blocked by Chrome ERR_BLOCKED_BY_CLIENT. Query rows transcribed from rendered table. Unknown page mappings are intentionally blank.
radiance hair clinic,,,3,2,159,96,35.8,33.9,-1.9,1.9%,2.1%,,URL_INSPECTION_REQUIRED; query visibility is not index status,CTR_OR_DEMAND_LOSS,Inspect exact query-page mapping and snippet before changing winning title; monitor clicks not sitewide average position,P1,/hair-loss-clinic-bhubaneswar,0.2,NOT_JOINED: retrieve exact query Pages report,Last 28 complete days compared with previous 28 days; latest complete data through 2026-09-15. Exact custom-date dialog unavailable; retain native report-window labels.,2026-09-18,Authenticated Google Search Console performance UI; Web; all devices/countries; CSV download blocked by Chrome ERR_BLOCKED_BY_CLIENT. Query rows transcribed from rendered table. Unknown page mappings are intentionally blank.
best hair doctor in bhubaneswar,,,3,1,328,229,5.7,5.7,0,0.9%,0.4%,,URL_INSPECTION_REQUIRED; query visibility is not index status,CTR_OR_DEMAND_LOSS,Inspect exact query-page mapping and snippet before changing winning title; monitor clicks not sitewide average position,P1,/hair-loss-clinic-bhubaneswar,-0.5,NOT_JOINED: retrieve exact query Pages report,Last 28 complete days compared with previous 28 days; latest complete data through 2026-09-15. Exact custom-date dialog unavailable; retain native report-window labels.,2026-09-18,Authenticated Google Search Console performance UI; Web; all devices/countries; CSV download blocked by Chrome ERR_BLOCKED_BY_CLIENT. Query rows transcribed from rendered table. Unknown page mappings are intentionally blank.
best dermatologist bhubaneswar,,,2,1,167,148,6.9,6.6,-0.3,1.2%,0.7%,,URL_INSPECTION_REQUIRED; query visibility is not index status,CTR_OR_DEMAND_LOSS,Inspect exact query-page mapping and snippet before changing winning title; monitor clicks not sitewide average position,P1,/skin-clinic-bhubaneswar,-0.5,NOT_JOINED: retrieve exact query Pages report,Last 28 complete days compared with previous 28 days; latest complete data through 2026-09-15. Exact custom-date dialog unavailable; retain native report-window labels.,2026-09-18,Authenticated Google Search Console performance UI; Web; all devices/countries; CSV download blocked by Chrome ERR_BLOCKED_BY_CLIENT. Query rows transcribed from rendered table. Unknown page mappings are intentionally blank.
hair clinic bhubaneswar,,,3,1,144,95,3,6.6,3.6,2.1%,1.1%,,URL_INSPECTION_REQUIRED; query visibility is not index status,RANKING_DECLINE,Inspect exact query-page mapping and snippet before changing winning title; monitor clicks not sitewide average position,P1,/hair-loss-clinic-bhubaneswar,-1,NOT_JOINED: retrieve exact query Pages report,Last 28 complete days compared with previous 28 days; latest complete data through 2026-09-15. Exact custom-date dialog unavailable; retain native report-window labels.,2026-09-18,Authenticated Google Search Console performance UI; Web; all devices/countries; CSV download blocked by Chrome ERR_BLOCKED_BY_CLIENT. Query rows transcribed from rendered table. Unknown page mappings are intentionally blank.
