canonical_path,category,canonical_name,aliases,patient_language_terms,primary_intent,status,medical_review_required,reviewed_by,reviewed_at,indexable,updated_at
/concerns/hair-loss-scalp/hair-loss,hair-loss-scalp,Hair Loss,hairfall;hair fall;losing hair,hairfall;hair fall;losing hair,hair loss guidance,READY_FOR_MEDICAL_REVIEW,true,,,false,2026-08-15
/concerns/hair-loss-scalp/hair-thinning,hair-loss-scalp,Hair Thinning,thin hair;less hair density;scalp showing,thin hair;less hair density;scalp showing,hair thinning guidance,READY_FOR_MEDICAL_REVIEW,true,,,false,2026-08-15
/concerns/hair-loss-scalp/sudden-hair-shedding,hair-loss-scalp,Sudden Hair Shedding,sudden hairfall;hair coming out in handfuls;excessive shedding,sudden hairfall;hair coming out in handfuls;excessive shedding,sudden hair shedding guidance,READY_FOR_MEDICAL_REVIEW,true,,,false,2026-08-15
/concerns/hair-loss-scalp/male-pattern-hair-loss,hair-loss-scalp,Male Pattern Hair Loss,male pattern baldness;androgenetic alopecia;balding crown,male pattern baldness;androgenetic alopecia;balding crown,male pattern hair loss guidance,READY_FOR_MEDICAL_REVIEW,true,,,false,2026-08-15
/concerns/hair-loss-scalp/female-pattern-hair-loss,hair-loss-scalp,Female Pattern Hair Loss,female hair thinning;widening part;female androgenetic alopecia,female hair thinning;widening part;female androgenetic alopecia,female pattern hair loss guidance,READY_FOR_MEDICAL_REVIEW,true,,,false,2026-08-15
/concerns/hair-loss-scalp/receding-hairline,hair-loss-scalp,Receding Hairline,hairline going back;temple recession;M shaped hairline,hairline going back;temple recession;M shaped hairline,receding hairline guidance,READY_FOR_MEDICAL_REVIEW,true,,,false,2026-08-15
/concerns/hair-loss-scalp/widening-part,hair-loss-scalp,Widening Hair Part,broad parting;scalp visible in part;female thinning part,broad parting;scalp visible in part;female thinning part,widening hair part guidance,READY_FOR_MEDICAL_REVIEW,true,,,false,2026-08-15
/concerns/hair-loss-scalp/alopecia-areata,hair-loss-scalp,Patchy Hair Loss (Alopecia Areata),coin shaped bald patch;patchy alopecia;round bald spot,coin shaped bald patch;patchy alopecia;round bald spot,patchy hair loss (alopecia areata) guidance,READY_FOR_MEDICAL_REVIEW,true,,,false,2026-08-15
/concerns/hair-loss-scalp/dandruff,hair-loss-scalp,Dandruff & Flaky Scalp,flaky scalp;white flakes;scalp scaling,flaky scalp;white flakes;scalp scaling,dandruff & flaky scalp guidance,READY_FOR_MEDICAL_REVIEW,true,,,false,2026-08-15
/concerns/hair-loss-scalp/itchy-scalp,hair-loss-scalp,Itchy Scalp,scalp itching;itching with hair fall;irritated scalp,scalp itching;itching with hair fall;irritated scalp,itchy scalp guidance,READY_FOR_MEDICAL_REVIEW,true,,,false,2026-08-15
