route,route_type,parent_hub,canonical,category,sitemap,robots,status,reviewed_by,reviewed_at
/doctor-answers/is-hair-transplant-painful,doctor-answer,/doctor-answers,/doctor-answers/is-hair-transplant-painful,hair-transplant,true,"index,follow",APPROVED,Dr. Satyarth Prakash,2026-08-15
/doctor-answers/shedding-after-hair-transplant,doctor-answer,/doctor-answers,/doctor-answers/shedding-after-hair-transplant,hair-transplant,true,"index,follow",APPROVED,Dr. Satyarth Prakash,2026-08-15
/doctor-answers/when-transplanted-hair-start-growing,doctor-answer,/doctor-answers,/doctor-answers/when-transplanted-hair-start-growing,hair-transplant,true,"index,follow",APPROVED,Dr. Satyarth Prakash,2026-08-15
/doctor-answers/what-is-shock-loss,doctor-answer,/doctor-answers,/doctor-answers/what-is-shock-loss,hair-transplant,true,"index,follow",APPROVED,Dr. Satyarth Prakash,2026-08-15
/doctor-answers/hair-thinning-vs-hair-fall,doctor-answer,/doctor-answers,/doctor-answers/hair-thinning-vs-hair-fall,hair-loss-scalp,true,"index,follow",APPROVED,Dr. Satyarth Prakash,2026-08-15
/doctor-answers/why-acne-keeps-returning,doctor-answer,/doctor-answers,/doctor-answers/why-acne-keeps-returning,acne,true,"index,follow",APPROVED,Dr. Satyarth Prakash,2026-08-15
/doctor-answers/can-deep-acne-scars-improve,doctor-answer,/doctor-answers,/doctor-answers/can-deep-acne-scars-improve,acne-scars,true,"index,follow",APPROVED,Dr. Satyarth Prakash,2026-08-15
/doctor-answers/which-acne-scar-treatment-is-best,doctor-answer,/doctor-answers,/doctor-answers/which-acne-scar-treatment-is-best,acne-scars,true,"index,follow",APPROVED,Dr. Satyarth Prakash,2026-08-15
/doctor-answers/why-melasma-returns,doctor-answer,/doctor-answers,/doctor-answers/why-melasma-returns,pigmentation,true,"index,follow",APPROVED,Dr. Satyarth Prakash,2026-08-15
/doctor-answers/laser-hair-reduction-permanent,doctor-answer,/doctor-answers,/doctor-answers/laser-hair-reduction-permanent,laser-hair-reduction,true,"index,follow",APPROVED,Dr. Satyarth Prakash,2026-08-15
