page,path,clicks_7d,impressions_7d,ctr_7d,position_7d,clicks_28d,impressions_28d,ctr_28d,position_28d,clicks_previous_28d,impressions_previous_28d,ctr_previous_28d,position_previous_28d,click_change_28d,impression_change_28d,clicks_3mo,impressions_3mo,ctr_3mo,position_3mo
https://www.radianceclinics.com/,/,86,6195,1.39,7.38,357,25128,1.42,7.13,293,22734,1.29,6.85,64,2394,1046,77396,1.35,6.90
https://www.radianceclinics.com/post/what-is-gfc-treatment-and-how-does-it-help-in-hair-regrowth/,/post/what-is-gfc-treatment-and-how-does-it-help-in-hair-regrowth,0,3,0.00,1.67,0,2313,0.00,16.63,2,2575,0.08,22.07,-2,-262,5,7225,0.07,21.46
https://www.radianceclinics.com/post/what-to-expect-during-your-first-visit-to-a-skin-care-doctor/,/post/what-to-expect-during-your-first-visit-to-a-skin-care-doctor,,,,,0,1958,0.00,29.97,0,3289,0.00,33.16,0,-1331,1,9635,0.01,31.97
https://www.radianceclinics.com/post/the-key-to-lasting-smoothness-unlock-laser-hair-removal/,/post/the-key-to-lasting-smoothness-unlock-laser-hair-removal,0,70,0.00,1.00,0,1875,0.00,8.28,0,774,0.00,24.81,0,1101,0,3484,0.00,16.67
https://www.radianceclinics.com/skin-clinic-bhubaneswar,/skin-clinic-bhubaneswar,5,891,0.56,21.25,6,1847,0.32,20.04,0,0,0.00,0.00,6,1847,6,1847,0.32,20.04
https://www.radianceclinics.com/skin-care-treatments/,/skin-care-treatments,,,,,4,1578,0.25,21.19,13,2483,0.52,17.51,-9,-905,30,8385,0.36,17.74
https://www.radianceclinics.com/book-online-radiance-clinics-bhuabaneswar,/book-online-radiance-clinics-bhuabaneswar,,,,,24,1569,1.53,4.64,36,2120,1.70,5.60,-12,-551,91,6371,1.43,5.29
https://www.radianceclinics.com/dermatology-clinic-in-bhubaneswar/,/dermatology-clinic-in-bhubaneswar,,,,,0,1278,0.00,11.36,2,2194,0.09,10.32,-2,-916,5,5256,0.10,11.02
https://www.radianceclinics.com/hair-transplant-in-kolkata/,/hair-transplant-in-kolkata,,,,,0,927,0.00,31.39,1,1654,0.06,34.77,-1,-727,6,4694,0.13,36.96
https://www.radianceclinics.com/hair-loss-treatments/,/hair-loss-treatments,,,,,3,756,0.40,21.31,8,1289,0.62,17.75,-5,-533,18,4122,0.44,18.37
https://www.radianceclinics.com/hair-transplant-in-berhampur/,/hair-transplant-in-berhampur,,,,,5,683,0.73,7.73,7,987,0.71,7.35,-2,-304,21,2812,0.75,7.82
https://www.radianceclinics.com/contact,/contact,0,320,0.00,8.27,0,655,0.00,8.11,0,0,0.00,0.00,0,655,0,655,0.00,8.11
https://www.radianceclinics.com/hair-patch/,/hair-patch,,,,,8,625,1.28,18.92,15,1062,1.41,16.20,-7,-437,45,3364,1.34,16.78
https://www.radianceclinics.com/concerns/acne/closed-comedones,/concerns/acne/closed-comedones,0,618,0.00,11.74,0,618,0.00,11.74,0,0,0.00,0.00,0,618,0,618,0.00,11.74
https://www.radianceclinics.com/laser-hair-removal-radiance/,/laser-hair-removal-radiance,,,,,5,560,0.89,18.12,14,952,1.47,15.95,-9,-392,27,2838,0.95,16.30
https://www.radianceclinics.com/post/how-many-prp-sessions-are-needed-for-visible-hair-growth/,/post/how-many-prp-sessions-are-needed-for-visible-hair-growth,0,1,0.00,3.00,0,537,0.00,10.02,4,1040,0.38,8.34,-4,-503,6,3099,0.19,8.93
https://www.radianceclinics.com/hair-transplant-bhubaneswar,/hair-transplant-bhubaneswar,0,270,0.00,41.43,1,495,0.20,38.02,0,0,0.00,0.00,1,495,1,495,0.20,38.02
https://www.radianceclinics.com/post/why-radiance-skin-and-hair-clinic-is-the-ideal-choice-for-hair-loss-treatment/,/post/why-radiance-skin-and-hair-clinic-is-the-ideal-choice-for-hair-loss-treatment,,,,,1,440,0.23,10.29,0,751,0.00,9.93,1,-311,5,2108,0.24,10.48
https://www.radianceclinics.com/post/why-do-some-people-regret-getting-a-hair-transplant-too-early/,/post/why-do-some-people-regret-getting-a-hair-transplant-too-early,,,,,0,419,0.00,5.43,3,345,0.87,6.00,-3,74,4,1133,0.35,6.30
