query,clicks_7d,impressions_7d,ctr_7d,position_7d,clicks_28d,impressions_28d,ctr_28d,position_28d,clicks_previous_28d,impressions_previous_28d,ctr_previous_28d,position_previous_28d,click_change_28d,impression_change_28d,clicks_3mo,impressions_3mo,ctr_3mo,position_3mo
laser hair removal,0,64,0.00,1.34,0,1424,0.00,3.33,0,448,0.00,11.23,0,976,0,2425,0.00,7.89
gfc treatment,,,,,0,1147,0.00,7.48,0,519,0.00,11.18,0,628,0,1712,0.00,9.23
radiance skin & hair clinics,11,205,5.37,5.95,55,924,5.95,5.92,95,1416,6.71,4.06,-40,-492,238,4234,5.62,4.48
skin doctor,,,,,0,814,0.00,33.68,0,1630,0.00,38.01,0,-816,0,4468,0.00,37.09
radiance clinic,8,175,4.57,11.60,37,677,5.47,11.76,16,466,3.43,18.90,21,211,73,1752,4.17,16.03
hair transplant in bhubaneswar,3,166,1.81,9.51,17,631,2.69,8.41,8,643,1.24,7.60,9,-12,42,2149,1.95,7.79
best dermatologist in bhubaneswar,0,124,0.00,6.29,0,531,0.00,6.31,2,516,0.39,6.39,-2,15,5,1728,0.29,6.36
closed comedones,0,370,0.00,10.98,0,370,0.00,10.98,0,0,0.00,0.00,0,370,0,370,0.00,10.98
skin radiance,0,5,0.00,2.00,0,350,0.00,3.19,0,347,0.00,4.50,0,3,0,922,0.00,5.09
hair transplant bhubaneswar,0,82,0.00,9.11,11,346,3.18,6.61,5,322,1.55,5.05,6,24,29,1055,2.75,4.78
hair transplant clinic in bhubaneswar,0,84,0.00,15.67,1,340,0.29,11.17,3,279,1.08,10.29,-2,61,10,996,1.00,9.09
hair treatment in bhubaneswar,0,109,0.00,10.61,1,331,0.30,12.39,4,333,1.20,13.06,-3,-2,8,973,0.82,13.55
best hair transplant in bhubaneswar,0,69,0.00,12.00,5,330,1.52,15.91,1,303,0.33,14.94,4,27,12,1062,1.13,15.19
best hair doctor in bhubaneswar,0,60,0.00,4.22,1,317,0.32,5.97,5,318,1.57,5.75,-4,-1,7,975,0.72,5.87
best skin doctor in bhubaneswar,0,85,0.00,9.16,0,313,0.00,9.01,0,244,0.00,10.01,0,69,0,862,0.00,9.60
skin care doctor,,,,,0,312,0.00,27.52,0,497,0.00,31.35,0,-185,0,1458,0.00,29.88
radiance clinic bhubaneswar,6,65,9.23,1.02,20,309,6.47,1.50,8,181,4.42,3.62,12,128,38,651,5.84,1.97
dermatologist in bhubaneswar,0,75,0.00,8.27,0,288,0.00,8.72,3,257,1.17,8.85,-3,31,3,912,0.33,8.86
best hair transplant clinic in bhubaneswar,1,40,2.50,10.15,5,281,1.78,9.40,2,340,0.59,8.96,3,-59,12,964,1.24,7.88
hair doctor bhubaneswar,0,72,0.00,5.39,3,278,1.08,4.93,0,210,0.00,5.93,3,68,3,727,0.41,5.44
radiance skin & hair clinics reviews,0,34,0.00,4.03,1,256,0.39,7.37,1,244,0.41,9.08,0,12,2,818,0.24,8.40
hair clinic in bhubaneswar,0,53,0.00,19.98,1,238,0.42,22.61,1,226,0.44,21.94,0,12,5,753,0.66,22.59
top 10 skin specialist in bhubaneswar,0,65,0.00,7.75,1,229,0.44,8.15,0,199,0.00,8.25,1,30,1,662,0.15,8.36
hair specialist in bhubaneswar,0,51,0.00,12.51,2,224,0.89,10.91,1,180,0.56,12.92,1,44,5,633,0.79,12.12
hair specialist doctor in bhubaneswar,0,57,0.00,11.58,3,215,1.40,8.23,1,65,1.54,11.58,2,150,4,346,1.16,9.28
laser hair removal bhubaneswar,2,54,3.70,11.83,3,188,1.60,8.84,2,166,1.20,7.34,1,22,6,543,1.10,7.66
best hair specialist in bhubaneswar,0,49,0.00,13.00,1,181,0.55,11.06,0,194,0.00,12.35,1,-13,2,595,0.34,11.30
skincare doctor,,,,,0,180,0.00,28.08,0,146,0.00,28.99,0,34,0,523,0.00,30.45
hair removal treatment,,,,,0,174,0.00,53.76,0,242,0.00,49.95,0,-68,0,693,0.00,48.69
radiant skin clinic,0,44,0.00,31.98,0,170,0.00,34.42,0,168,0.00,35.84,0,2,0,528,0.00,34.71
radiance skin & hair clinics photos,0,38,0.00,3.32,1,167,0.60,2.72,0,141,0.00,2.10,1,26,4,503,0.80,2.37
best hair clinic in bhubaneswar,0,35,0.00,14.26,2,166,1.20,13.57,1,153,0.65,11.12,1,13,3,534,0.56,12.27
best dermatologist bhubaneswar,1,33,3.03,5.91,1,156,0.64,6.87,2,141,1.42,6.97,-1,15,4,456,0.88,7.03
radiance skin clinic,2,45,4.44,13.96,6,154,3.90,16.73,1,99,1.01,19.90,5,55,15,424,3.54,17.70
acne prone skin,,,,,0,151,0.00,27.43,0,382,0.00,28.37,0,-231,0,774,0.00,27.49
laser hair removal in bhubaneswar,0,37,0.00,11.32,2,149,1.34,15.30,3,145,2.07,15.59,-1,4,6,489,1.23,15.39
radiance hair clinic,1,29,3.45,41.83,3,145,2.07,33.55,4,159,2.52,36.21,-1,-14,10,503,1.99,36.48
hair clinic bhubaneswar,1,32,3.12,2.69,3,141,2.13,2.96,1,159,0.63,3.29,2,-18,4,450,0.89,3.21
hair doctor in bhubaneswar,0,26,0.00,9.00,0,135,0.00,8.44,1,139,0.72,11.16,-1,-4,1,434,0.23,11.40
hair doctor kolkata,,,,,0,132,0.00,5.92,0,143,0.00,8.29,0,-11,0,305,0.00,7.55
radiance skin and hair clinic,0,25,0.00,21.40,1,130,0.77,16.25,3,207,1.45,11.82,-2,-77,7,599,1.17,15.14
skin clinic bhubaneswar,1,25,4.00,9.28,1,126,0.79,10.29,0,63,0.00,11.19,1,63,1,324,0.31,10.42
radiance,1,36,2.78,7.47,3,123,2.44,6.50,4,93,4.30,4.75,-1,30,13,348,3.74,5.17
acne check,,,,,0,118,0.00,9.28,0,156,0.00,11.18,0,-38,0,333,0.00,11.02
laser treatment in bhubaneswar,0,36,0.00,9.47,0,116,0.00,12.24,2,72,2.78,11.67,-2,44,2,349,0.57,11.14
radiance hair transplant,0,31,0.00,29.23,4,116,3.45,36.48,0,128,0.00,38.27,4,-12,5,435,1.15,39.06
hair specialist,0,3,0.00,9.00,0,116,0.00,61.91,0,225,0.00,68.57,0,-109,0,597,0.00,67.37
hair doctor near me,1,34,2.94,7.26,1,115,0.87,7.05,0,119,0.00,6.78,1,-4,1,359,0.28,7.16
skin clinic in bhubaneswar,0,34,0.00,13.12,0,115,0.00,13.53,0,101,0.00,13.21,0,14,0,341,0.00,13.16
dandruff treatment,0,64,0.00,5.12,0,114,0.00,5.05,0,503,0.00,5.67,0,-389,0,1218,0.00,5.87
hair patch in bhubaneswar,0,3,0.00,25.67,3,113,2.65,5.46,3,205,1.46,5.88,0,-92,15,605,2.48,5.66
radiant clinic,0,20,0.00,17.80,1,112,0.89,20.68,0,77,0.00,24.75,1,35,2,331,0.60,21.46
gfc procedure,,,,,0,111,0.00,6.49,0,274,0.00,5.50,0,-163,0,561,0.00,5.70
dermatologist bhubaneswar,0,21,0.00,11.67,0,109,0.00,9.98,3,129,2.33,9.53,-3,-20,4,407,0.98,9.80
ฉีด gfc ผม,,,,,0,108,0.00,47.27,0,285,0.00,44.44,0,-177,0,534,0.00,44.69
gfc กระตุ้นรากผม,,,,,0,108,0.00,53.90,0,71,0.00,51.32,0,37,0,186,0.00,52.96
radiance skin,0,8,0.00,30.50,0,103,0.00,10.91,0,174,0.00,8.40,0,-71,0,477,0.00,11.04
skin clinic near me,0,15,0.00,9.80,0,98,0.00,8.80,0,109,0.00,8.44,0,-11,1,317,0.32,7.88
