query,clicks_28d,impressions_28d,ctr_28d,position_28d,clicks_previous_28d,impressions_previous_28d,current_ranking_url,preferred_target_url,action,opportunity_score,priority,evidence
best dermatologist in bhubaneswar,0,531,0.00,6.31,2,516,https://www.radianceclinics.com/,/skin-clinic-bhubaneswar,INTERNAL_LINK,87,P0,Google Search Console export; no external search volume used
hair transplant clinic in bhubaneswar,1,340,0.29,11.17,3,279,https://www.radianceclinics.com/,/hair-transplant-bhubaneswar,INTERNAL_LINK,84,P0,Google Search Console export; no external search volume used
best hair transplant in bhubaneswar,5,330,1.52,15.91,1,303,https://www.radianceclinics.com/,/hair-transplant-bhubaneswar,INTERNAL_LINK,84,P0,Google Search Console export; no external search volume used
skin care doctor,0,312,0.00,27.52,0,497,https://www.radianceclinics.com/post/what-to-expect-during-your-first-visit-to-a-skin-care-doctor/,/skin-clinic-bhubaneswar,REDIRECT,84,P0,Google Search Console export; no external search volume used
dermatologist in bhubaneswar,0,288,0.00,8.72,3,257,https://www.radianceclinics.com/,/skin-clinic-bhubaneswar,INTERNAL_LINK,84,P0,Google Search Console export; no external search volume used
hair transplant in bhubaneswar,17,631,2.69,8.41,8,643,https://www.radianceclinics.com/,/hair-transplant-bhubaneswar,INTERNAL_LINK,81,P0,Google Search Console export; no external search volume used
laser hair removal bhubaneswar,3,188,1.60,8.84,2,166,https://www.radianceclinics.com/laser-hair-removal-radiance/,/laser-hair-removal-bhubaneswar,REDIRECT,81,P0,Google Search Console export; no external search volume used
laser hair removal in bhubaneswar,2,149,1.34,15.30,3,145,https://www.radianceclinics.com/,/laser-hair-removal-bhubaneswar,INTERNAL_LINK,80,P0,Google Search Console export; no external search volume used
gfc treatment,0,1147,0.00,7.48,0,519,,,REVIEW,79,P0,Google Search Console export; no external search volume used
skin clinic in bhubaneswar,0,115,0.00,13.53,0,101,https://www.radianceclinics.com/,/skin-clinic-bhubaneswar,REDIRECT,79,P0,Google Search Console export; no external search volume used
hair transplant bhubaneswar,11,346,3.18,6.61,5,322,https://www.radianceclinics.com/,/hair-transplant-bhubaneswar,INTERNAL_LINK,77,P0,Google Search Console export; no external search volume used
skin specialist in bhubaneswar,0,84,0.00,14.25,0,88,https://www.radianceclinics.com/,/skin-clinic-bhubaneswar,INTERNAL_LINK,77,P0,Google Search Console export; no external search volume used
dermal fillers treatment in bhubaneswar,0,68,0.00,21.97,0,80,https://www.radianceclinics.com/fillers/,/dermal-fillers-bhubaneswar,REDIRECT_AND_INTERNAL_LINK,76,P0,Google Search Console export; no external search volume used
botox treatment in bhubaneswar,0,66,0.00,16.55,2,72,https://www.radianceclinics.com/post/a-complete-guide-to-know-about-botox-treatment/,/botox-treatment-bhubaneswar,REDIRECT_AND_INTERNAL_LINK,76,P0,Google Search Console export; no external search volume used
closed comedones,0,370,0.00,10.98,0,0,,,REVIEW,75,P0,Google Search Console export; no external search volume used
tattoo removal bhubaneswar,1,57,1.75,6.63,3,114,https://www.radianceclinics.com/tattoo-removal-radiance/,/tattoo-removal-bhubaneswar,REDIRECT_AND_INTERNAL_LINK,75,P0,Google Search Console export; no external search volume used
