Date,Clicks,Impressions,CTR,Position
2026-07-25,16,2027,0.79%,16
2026-07-26,25,2010,1.24%,13.2
2026-07-27,26,2340,1.11%,15.9
2026-07-28,17,2161,0.79%,14.7
2026-07-29,16,2289,0.7%,11.5
2026-07-30,20,2311,0.87%,12.8
2026-07-31,17,2358,0.72%,14.1
2026-08-01,19,2385,0.8%,13.7
2026-08-02,19,2480,0.77%,11.7
2026-08-03,21,2275,0.92%,14.4
2026-08-04,26,2176,1.19%,13.5
2026-08-05,26,2002,1.3%,12.8
2026-08-06,30,2171,1.38%,12.3
2026-08-07,14,2142,0.65%,13.2
2026-08-08,15,1955,0.77%,13.6
2026-08-09,13,1726,0.75%,11
2026-08-10,15,1686,0.89%,13.2
2026-08-11,20,1541,1.3%,12.1
2026-08-12,20,1294,1.55%,9.2
2026-08-13,20,1384,1.45%,10.6
2026-08-14,19,1155,1.65%,12.3
2026-08-15,13,1181,1.1%,11
2026-08-16,15,1052,1.43%,8.5
2026-08-17,14,1224,1.14%,14.6
2026-08-18,22,1595,1.38%,14.7
2026-08-19,10,1353,0.74%,15
2026-08-20,16,1344,1.19%,14.9
2026-08-21,15,1463,1.03%,16.5
