Country,Clicks,Impressions,CTR,Position
India,1658,145787,1.14%,10.56
United States,16,12104,0.13%,26.9
United Arab Emirates,12,958,1.25%,24.87
United Kingdom,8,3677,0.22%,41.55
Canada,6,1019,0.59%,21.94
Jordan,6,143,4.2%,16.28
Singapore,4,932,0.43%,34.33
Bangladesh,4,272,1.47%,19.24
Australia,3,1245,0.24%,39.31
Pakistan,3,466,0.64%,14.09
Germany,3,451,0.67%,28.64
Morocco,3,82,3.66%,28.55
Ireland,2,157,1.27%,20.31
Sri Lanka,2,139,1.44%,15.06
Belgium,2,95,2.11%,24.54
Poland,2,81,2.47%,11.44
Saudi Arabia,1,527,0.19%,35.32
Vietnam,1,363,0.28%,26.91
France,1,342,0.29%,14.76
Nigeria,1,310,0.32%,5.78
Turkey,1,156,0.64%,32.64
Ukraine,1,98,1.02%,18.16
Hong Kong,1,77,1.3%,8.39
Oman,1,68,1.47%,33.25
Switzerland,1,62,1.61%,12.95
China,1,60,1.67%,9.67
Israel,1,60,1.67%,22.55
Hungary,1,44,2.27%,19.09
Bahrain,1,27,3.7%,8.15
Cyprus,1,17,5.88%,7.18
Congo - Kinshasa,1,12,8.33%,3.67
Slovakia,1,11,9.09%,15.36
Papua New Guinea,1,6,16.67%,6.83
Malaysia,0,1907,0%,35.04
Thailand,0,1311,0%,42.57
Philippines,0,856,0%,22.33
South Africa,0,403,0%,12.45
Indonesia,0,370,0%,22.53
Nepal,0,308,0%,33.1
Netherlands,0,260,0%,11.99
Italy,0,249,0%,13.95
Spain,0,244,0%,19.66
Qatar,0,211,0%,46.84
Mexico,0,181,0%,21.35
Kuwait,0,178,0%,58.28
Brazil,0,155,0%,12.55
Sweden,0,153,0%,10.08
New Zealand,0,137,0%,27.35
Japan,0,129,0%,8.1
Russia,0,127,0%,24.31
Egypt,0,100,0%,12.92
Romania,0,83,0%,8.93
Kenya,0,80,0%,11.82
Ghana,0,70,0%,4.47
Portugal,0,66,0%,9.8
South Korea,0,61,0%,16.51
Greece,0,55,0%,10.58
Algeria,0,55,0%,27.58
Argentina,0,53,0%,16.74
