Country,Clicks,Impressions,CTR,Position
India,102,8216,1.24%,10.55
United Arab Emirates,1,34,2.94%,26.09
Jordan,1,20,5%,46.2
Saudi Arabia,1,9,11.11%,33.33
United States,0,299,0%,22.05
United Kingdom,0,137,0%,56.94
Philippines,0,68,0%,62.68
Malaysia,0,36,0%,68.03
Turkey,0,36,0%,68.89
Indonesia,0,28,0%,71.68
Bangladesh,0,26,0%,55.38
Vietnam,0,26,0%,72.69
Singapore,0,22,0%,74.14
Mexico,0,21,0%,67.52
Russia,0,17,0%,55.18
Canada,0,15,0%,32.33
South Africa,0,14,0%,42.64
Thailand,0,14,0%,68.79
Morocco,0,13,0%,73.54
Netherlands,0,12,0%,6.08
Australia,0,11,0%,22
Algeria,0,11,0%,63.45
Germany,0,9,0%,3.33
Pakistan,0,9,0%,18.67
Spain,0,9,0%,56.56
Nepal,0,8,0%,11.5
Japan,0,5,0%,4.8
France,0,5,0%,5.2
Hong Kong,0,5,0%,6.2
Ukraine,0,5,0%,49.8
Brazil,0,4,0%,3.5
Egypt,0,4,0%,4.75
Kuwait,0,4,0%,13
Lebanon,0,4,0%,34.5
Poland,0,3,0%,3.33
Italy,0,3,0%,3.67
Sweden,0,3,0%,10.67
Switzerland,0,3,0%,13.67
Hungary,0,3,0%,13.67
Ireland,0,3,0%,15
Albania,0,2,0%,1
Kenya,0,2,0%,5
Iraq,0,2,0%,7
Jamaica,0,2,0%,10.5
Romania,0,2,0%,10.5
Tunisia,0,2,0%,11
Qatar,0,2,0%,19.5
Denmark,0,2,0%,41
Dominican Republic,0,1,0%,1
Guam,0,1,0%,1
Croatia,0,1,0%,1
Afghanistan,0,1,0%,4
Cameroon,0,1,0%,4
Mauritius,0,1,0%,5
Nigeria,0,1,0%,5
Iran,0,1,0%,6
Greece,0,1,0%,8
Maldives,0,1,0%,8
Kosovo,0,1,0%,9
Ghana,0,1,0%,10
Costa Rica,0,1,0%,11
Ethiopia,0,1,0%,11
Finland,0,1,0%,11
Austria,0,1,0%,12
Czechia,0,1,0%,12
Kyrgyzstan,0,1,0%,12
Portugal,0,1,0%,31
Oman,0,1,0%,39
Guatemala,0,1,0%,67
New Zealand,0,1,0%,79
