Country,Last 28 days Clicks,Previous 28 days Clicks,Last 28 days Impressions,Previous 28 days Impressions,Last 28 days CTR,Previous 28 days CTR,Last 28 days Position,Previous 28 days Position
India,499,496,43206,44733,1.15%,1.11%,9.91,10.32
Jordan,5,1,57,39,8.77%,2.56%,23.88,10.44
Canada,3,0,206,428,1.46%,0%,21.14,22
United States,2,11,2607,4239,0.08%,0.26%,30.36,25.24
United Kingdom,1,2,905,1243,0.11%,0.16%,41.6,42.2
Australia,1,1,238,451,0.42%,0.22%,38.87,37.34
United Arab Emirates,1,7,206,362,0.49%,1.93%,23.83,23.86
Saudi Arabia,1,0,117,200,0.85%,0%,35.64,35.07
Germany,1,0,96,186,1.04%,0%,25.05,28.03
Ukraine,1,0,55,25,1.82%,0%,22.53,14.04
Morocco,1,0,50,16,2%,0%,36.68,22.75
Ireland,1,0,31,67,3.23%,0%,26.06,20.9
Sri Lanka,1,1,25,41,4%,2.44%,14.36,10.9
Poland,1,1,17,40,5.88%,2.5%,6.47,9.5
Malaysia,0,0,493,727,0%,0%,40.34,36.09
Thailand,0,0,410,520,0%,0%,44.31,44.31
Philippines,0,0,287,280,0%,0%,33.54,21.42
Singapore,0,1,225,266,0%,0.38%,44.99,31.55
Pakistan,0,1,131,169,0%,0.59%,18.07,14.76
Indonesia,0,0,120,112,0%,0%,34.47,19.41
Bangladesh,0,1,105,81,0%,1.23%,28.9,13.41
Turkey,0,1,101,33,0%,3.03%,43.72,11.12
Vietnam,0,0,99,183,0%,0%,43.1,24.9
South Africa,0,0,91,162,0%,0%,15.18,13.01
France,0,0,84,156,0%,0%,17.24,15.11
Nigeria,0,0,73,41,0%,0%,5.03,13.54
Mexico,0,0,69,61,0%,0%,34.88,16.57
Nepal,0,0,68,177,0%,0%,29.88,37.41
Russia,0,0,68,28,0%,0%,31.15,17.29
Spain,0,0,58,77,0%,0%,27.97,20.62
Netherlands,0,0,49,110,0%,0%,7.86,12.98
Qatar,0,0,49,78,0%,0%,39.29,46.33
Kuwait,0,0,39,67,0%,0%,41.77,63.94
Italy,0,0,37,96,0%,0%,9.51,15.79
Sweden,0,0,36,76,0%,0%,8.78,10.61
Algeria,0,0,33,7,0%,0%,36.33,12.14
Romania,0,0,30,23,0%,0%,6.13,14.52
New Zealand,0,0,24,57,0%,0%,17.62,32.6
Belgium,0,1,24,50,0%,2%,44,21.42
Egypt,0,0,22,41,0%,0%,15.73,9.22
Brazil,0,0,19,40,0%,0%,8.16,17.95
Japan,0,0,19,25,0%,0%,8.32,7.36
Hong Kong,0,1,18,37,0%,2.7%,6.17,7.59
Israel,0,1,17,20,0%,5%,24.59,25.95
Kenya,0,0,16,33,0%,0%,7.38,14.79
Czechia,0,0,16,23,0%,0%,15.12,15.83
Oman,0,1,14,34,0%,2.94%,30.07,33.15
Greece,0,0,13,26,0%,0%,7.54,10.92
Denmark,0,0,13,22,0%,0%,12.54,15.14
Ghana,0,0,11,21,0%,0%,5.45,3.33
Norway,0,0,11,23,0%,0%,7.73,8.87
Switzerland,0,1,11,26,0%,3.85%,11.73,14.73
Iraq,0,0,11,11,0%,0%,16.27,14.09
Uganda,0,0,10,9,0%,0%,8.2,3.33
Tanzania,0,0,10,6,0%,0%,18.8,11.33
South Korea,0,0,8,20,0%,0%,5.88,26.2
Chile,0,0,8,8,0%,0%,10.38,10.5
Portugal,0,0,7,27,0%,0%,8,13.85
Argentina,0,0,7,22,0%,0%,10.29,16.05
Hungary,0,1,7,20,0%,5%,11.86,21.7
Finland,0,0,6,13,0%,0%,6,10.08
Cambodia,0,0,6,5,0%,0%,6.5,16.4
Peru,0,0,6,16,0%,0%,7.67,13
Lithuania,0,0,6,6,0%,0%,14.83,18.83
Albania,0,0,5,2,0%,0%,1.4,1.5
Austria,0,0,5,10,0%,0%,5,8.8
Kazakhstan,0,0,5,7,0%,0%,7,7.29
Latvia,0,0,5,0,0%,0%,8,0
China,0,0,5,27,0%,0%,8.6,10.74
Serbia,0,0,5,4,0%,0%,8.6,5
Kyrgyzstan,0,0,5,2,0%,0%,8.8,7.5
Tunisia,0,0,5,7,0%,0%,11.6,5.14
Lebanon,0,0,5,6,0%,0%,34,19.33
Iran,0,0,4,22,0%,0%,3.75,7.82
Ethiopia,0,0,4,10,0%,0%,4.5,12.7
Congo - Kinshasa,0,0,4,2,0%,0%,5.5,3.5
Colombia,0,0,4,20,0%,0%,35,22.2
Taiwan,0,0,3,9,0%,0%,4,9.33
Bahrain,0,1,3,14,0%,7.14%,5,7.79
Mauritius,0,0,3,1,0%,0%,5.33,2
Syria,0,0,3,3,0%,0%,5.33,5.67
Malta,0,0,3,5,0%,0%,9.67,6.8
Cyprus,0,0,3,2,0%,0%,10,13
Croatia,0,0,3,20,0%,0%,11.67,4.8
Estonia,0,0,3,6,0%,0%,17.33,38.67
Zambia,0,0,3,3,0%,0%,34.33,2
Brunei,0,0,3,4,0%,0%,37.67,19.5
Maldives,0,0,3,2,0%,0%,38,5.5
Luxembourg,0,0,3,5,0%,0%,64.67,10.4
Iceland,0,0,3,3,0%,0%,75.33,33.67
Bosnia & Herzegovina,0,0,2,2,0%,0%,1,6
Macedonia,0,0,2,2,0%,0%,1.5,13
Slovakia,0,0,2,5,0%,0%,1.5,23.6
Libya,0,0,2,3,0%,0%,2,3
Afghanistan,0,0,2,2,0%,0%,2.5,4.5
Guam,0,0,2,3,0%,0%,3,3.33
Azerbaijan,0,0,2,3,0%,0%,4.5,20
Botswana,0,0,2,2,0%,0%,5,3
Zimbabwe,0,0,2,0,0%,0%,5,0
Puerto Rico,0,0,2,8,0%,0%,6.5,6
Trinidad & Tobago,0,0,2,1,0%,0%,7.5,3
Costa Rica,0,0,2,5,0%,0%,8.5,7.6
Laos,0,0,2,0,0%,0%,8.5,0
Benin,0,0,2,1,0%,0%,9,5
Madagascar,0,0,2,0,0%,0%,9.5,0
Jamaica,0,0,2,2,0%,0%,10.5,1.5
Armenia,0,0,2,8,0%,0%,12,8.62
Uzbekistan,0,0,2,2,0%,0%,13.5,36
Liechtenstein,0,0,2,1,0%,0%,47.5,17
Andorra,0,0,1,1,0%,0%,1,15
Barbados,0,0,1,1,0%,0%,1,9
Dominican Republic,0,0,1,6,0%,0%,1,16
Ecuador,0,0,1,6,0%,0%,2,14.5
Guernsey,0,0,1,1,0%,0%,2,21
Lesotho,0,0,1,0,0%,0%,2,0
Myanmar (Burma),0,0,1,6,0%,0%,2,5.5
Seychelles,0,0,1,0,0%,0%,2,0
Uruguay,0,0,1,2,0%,0%,2,10.5
Samoa,0,0,1,0,0%,0%,2,0
Cape Verde,0,0,1,0,0%,0%,3,0
Rwanda,0,0,1,0,0%,0%,3,0
Venezuela,0,0,1,7,0%,0%,3,11
Cameroon,0,0,1,1,0%,0%,4,10
Paraguay,0,0,1,2,0%,0%,5,11.5
Somalia,0,0,1,0,0%,0%,5,0
Yemen,0,0,1,2,0%,0%,5,3
Belarus,0,0,1,2,0%,0%,6,14
Georgia,0,0,1,4,0%,0%,7,3
Panama,0,0,1,4,0%,0%,8,13.75
Sierra Leone,0,0,1,0,0%,0%,8,0
Kosovo,0,0,1,0,0%,0%,9,0
Bahamas,0,0,1,0,0%,0%,10,0
Bhutan,0,0,1,1,0%,0%,10,2
Congo - Brazzaville,0,0,1,0,0%,0%,10,0
Macau,0,0,1,0,0%,0%,10,0
Moldova,0,0,1,0,0%,0%,10,0
Togo,0,0,1,0,0%,0%,10,0
Côte d’Ivoire,0,0,1,0,0%,0%,17,0
Guatemala,0,0,1,2,0%,0%,67,10
