Date,Not indexed,Indexed,Impressions
2026-05-26,,,1796
2026-05-27,,,1708
2026-05-28,,,1930
2026-05-29,120,305,1967
2026-05-30,113,304,1777
2026-05-31,113,304,1794
2026-06-01,113,304,2199
2026-06-02,116,304,1916
2026-06-03,116,304,1760
2026-06-04,116,304,1881
2026-06-05,116,304,1758
2026-06-06,116,304,1640
2026-06-07,116,304,1866
2026-06-08,116,304,2120
2026-06-09,114,304,1964
2026-06-10,114,304,2029
2026-06-11,114,304,1911
2026-06-12,114,304,2010
2026-06-13,116,305,1945
2026-06-14,116,305,1765
2026-06-15,116,305,2169
2026-06-16,116,305,1963
2026-06-17,116,305,2054
2026-06-18,116,305,2047
2026-06-19,116,305,1961
2026-06-20,116,305,1982
2026-06-21,116,305,1934
2026-06-22,116,305,2169
2026-06-23,116,305,2289
2026-06-24,116,305,1972
2026-06-25,116,305,2120
2026-06-26,116,305,2452
2026-06-27,116,305,2288
2026-06-28,116,305,2525
2026-06-29,116,305,2454
2026-06-30,116,305,2187
2026-07-01,115,301,2047
2026-07-02,115,301,1960
2026-07-03,115,301,2052
2026-07-04,115,301,1955
2026-07-05,115,301,1856
2026-07-06,115,301,2115
2026-07-07,115,301,2010
2026-07-08,115,301,1835
2026-07-09,115,301,1792
2026-07-10,115,301,2046
2026-07-11,121,305,2086
2026-07-12,121,305,1913
2026-07-13,121,305,2164
2026-07-14,121,305,1898
2026-07-15,121,305,1636
2026-07-16,121,305,1644
2026-07-17,121,305,1920
2026-07-18,121,305,1896
2026-07-19,121,305,1997
2026-07-20,121,305,2249
2026-07-21,121,305,1942
2026-07-22,121,305,1956
2026-07-23,121,305,1990
2026-07-24,121,305,2194
2026-07-25,127,310,2027
2026-07-26,127,310,2010
2026-07-27,127,310,2340
2026-07-28,127,310,2161
2026-07-29,127,310,2289
2026-07-30,127,310,2311
2026-07-31,127,310,2358
2026-08-01,127,310,2385
2026-08-02,127,310,2480
2026-08-03,127,310,2275
2026-08-04,127,310,2176
2026-08-05,127,310,2002
2026-08-06,178,274,2171
2026-08-07,178,274,2142
2026-08-08,319,174,1955
2026-08-09,319,174,1726
2026-08-10,319,174,1686
2026-08-11,384,122,1541
2026-08-12,384,122,1294
2026-08-13,384,122,1384
2026-08-14,384,122,1155
2026-08-15,390,152,1181
2026-08-16,390,152,1052
2026-08-17,390,152,1224
2026-08-18,412,230,1595
2026-08-19,412,230,1353
2026-08-20,412,230,1344
2026-08-21,412,230,1463
