Date,Affected pages
2026-05-29,13
2026-05-30,8
2026-05-31,8
2026-06-01,8
2026-06-02,10
2026-06-03,10
2026-06-04,10
2026-06-05,10
2026-06-06,10
2026-06-07,10
2026-06-08,10
2026-06-09,8
2026-06-10,8
2026-06-11,8
2026-06-12,8
2026-06-13,8
2026-06-14,8
2026-06-15,8
2026-06-16,8
2026-06-17,8
2026-06-18,8
2026-06-19,8
2026-06-20,8
2026-06-21,8
2026-06-22,8
2026-06-23,8
2026-06-24,8
2026-06-25,8
2026-06-26,8
2026-06-27,8
2026-06-28,8
2026-06-29,8
2026-06-30,8
2026-07-01,6
2026-07-02,6
2026-07-03,6
2026-07-04,6
2026-07-05,6
2026-07-06,6
2026-07-07,6
2026-07-08,6
2026-07-09,6
2026-07-10,6
2026-07-11,9
2026-07-12,9
2026-07-13,9
2026-07-14,9
2026-07-15,9
2026-07-16,9
2026-07-17,9
2026-07-18,9
2026-07-19,9
2026-07-20,9
2026-07-21,9
2026-07-22,9
2026-07-23,9
2026-07-24,9
2026-07-25,10
2026-07-26,10
2026-07-27,10
2026-07-28,10
2026-07-29,10
2026-07-30,10
2026-07-31,10
2026-08-01,10
2026-08-02,10
2026-08-03,10
2026-08-04,10
2026-08-05,10
2026-08-06,55
2026-08-07,55
2026-08-08,177
2026-08-09,177
2026-08-10,177
2026-08-11,242
2026-08-12,242
2026-08-13,242
2026-08-14,242
2026-08-15,244
2026-08-16,244
2026-08-17,244
2026-08-18,258
2026-08-19,258
2026-08-20,258
2026-08-21,258
