query,old_page,current_page,old_clicks_28d,current_clicks_28d,old_impressions_28d,current_impressions_28d,old_position_28d,current_position_28d,ctr_change_percentage_points,clicks_7d,impressions_7d,position_7d,probable_cause,target_page,required_action,priority,pre_migration_data,source_window,checked_at
radiance skin & hair clinics,,,95,55,1416,924,4.06,5.92,-0.76,11,205,5.95,CTR_PROBLEM,/,Preserve the homepage as the observed owner for this branded query and maintain clear links to the relevant hair treatment pathways.,P0,No direct migration-period export available in current authenticated GSC session,Authenticated Google Search Console Performance UI: last 7 days and last 28 complete days compared with previous 28 complete days. Exact migration-period API export is unavailable in the current property session.,2026-09-24
hair transplant in bhubaneswar,https://www.radianceclinics.com/,https://www.radianceclinics.com/,15,5,631,601,8.2,5.4,1.45,3,166,9.51,CTR_PROBLEM,/hair-transplant-bhubaneswar,Review the exact query-page snippet before changing a protected title or H1; preserve the established query owner unless evidence shows a mismatch.,P0,No direct migration-period export available in current authenticated GSC session,"Authenticated GSC exact-query Pages report, last 28 complete days compared with previous 28 complete days, transcribed 2026-09-24. The homepage remains the observed query owner; the dedicated page is a supporting commercial destination.",2026-09-24
hair transplant bhubaneswar,,,5,11,322,346,5.05,6.61,1.63,0,82,9.11,CTR_PROBLEM,/hair-transplant-bhubaneswar,Review the exact query-page snippet before changing a protected title or H1; preserve the established query owner unless evidence shows a mismatch.,P0,No direct migration-period export available in current authenticated GSC session,Authenticated Google Search Console Performance UI: last 7 days and last 28 complete days compared with previous 28 complete days. Exact migration-period API export is unavailable in the current property session.,2026-09-24
best hair doctor in bhubaneswar,,,5,1,318,317,5.75,5.97,-1.25,0,60,4.22,CTR_PROBLEM,/hair-loss-clinic-bhubaneswar,Review the exact query-page snippet before changing a protected title or H1; preserve the established query owner unless evidence shows a mismatch.,P0,No direct migration-period export available in current authenticated GSC session,Authenticated Google Search Console Performance UI: last 7 days and last 28 complete days compared with previous 28 complete days. Exact migration-period API export is unavailable in the current property session.,2026-09-24
radiance hair clinic,,,4,3,159,145,36.21,33.55,-0.45,1,29,41.83,NORMAL_VOLATILITY,/,Preserve the homepage as the observed owner for this branded query and maintain clear links to the relevant hair treatment pathways.,P0,No direct migration-period export available in current authenticated GSC session,Authenticated Google Search Console Performance UI: last 7 days and last 28 complete days compared with previous 28 complete days. Exact migration-period API export is unavailable in the current property session.,2026-09-24
hair transplant clinic in bhubaneswar,,,3,1,279,340,10.29,11.17,-0.79,0,84,15.67,MONITOR,/hair-transplant-bhubaneswar,"Strengthen the existing hair transplant owner with relevant internal links, results and decision content; do not create a keyword-variant URL.",P0,No direct migration-period export available in current authenticated GSC session,Authenticated Google Search Console Performance UI: last 7 days and last 28 complete days compared with previous 28 complete days. Exact migration-period API export is unavailable in the current property session.,2026-09-24
radiance skin and hair clinic,,,3,1,207,130,11.82,16.25,-0.68,0,25,21.4,TRAFFIC_DECLINE_REQUIRES_QUERY_PAGE_REVIEW,/,Preserve the homepage as the observed owner for this branded query and maintain clear links to the relevant hair treatment pathways.,P0,No direct migration-period export available in current authenticated GSC session,Authenticated Google Search Console Performance UI: last 7 days and last 28 complete days compared with previous 28 complete days. Exact migration-period API export is unavailable in the current property session.,2026-09-24
bhubaneswar hair transplant clinic,,,3,1,95,75,2.19,2.4,-1.83,0,24,3.38,TRAFFIC_DECLINE_REQUIRES_QUERY_PAGE_REVIEW,/hair-transplant-bhubaneswar,"Strengthen the existing hair transplant owner with relevant internal links, results and decision content; do not create a keyword-variant URL.",P0,No direct migration-period export available in current authenticated GSC session,Authenticated Google Search Console Performance UI: last 7 days and last 28 complete days compared with previous 28 complete days. Exact migration-period API export is unavailable in the current property session.,2026-09-24
radiance hair clinic bhubaneswar,,,3,0,41,14,1,1,-7.32,0,6,1,TRAFFIC_DECLINE_REQUIRES_QUERY_PAGE_REVIEW,/,Preserve the homepage as the observed owner for this branded query and maintain clear links to the relevant hair treatment pathways.,P0,No direct migration-period export available in current authenticated GSC session,Authenticated Google Search Console Performance UI: last 7 days and last 28 complete days compared with previous 28 complete days. Exact migration-period API export is unavailable in the current property session.,2026-09-24
best hair transplant clinic in bhubaneswar,,,2,5,340,281,8.96,9.4,1.19,1,40,10.15,WRONG_PAGE_RANKING,/hair-transplant-bhubaneswar,"Strengthen the existing hair transplant owner with relevant internal links, results and decision content; do not create a keyword-variant URL.",P0,No direct migration-period export available in current authenticated GSC session,Authenticated Google Search Console Performance UI: last 7 days and last 28 complete days compared with previous 28 complete days. Exact migration-period API export is unavailable in the current property session.,2026-09-24
