new_url,legacy_url,original_publish_date,original_modified_date,source_of_date,confidence,new_modified_date,notes
/about,https://www.radianceclinics.com/about-us/,2022-07-15,,good-content.json:date,high,2026-08-15,Publication date preserved from structured extraction; no original modified date was supplied.
/skin-clinic-bhubaneswar,https://www.radianceclinics.com/skin-care-treatments/,2022-08-04,,good-content.json:date,high,2026-08-15,Publication date preserved from structured extraction; no original modified date was supplied.
/skin-clinic-bhubaneswar,https://www.radianceclinics.com/dermatology-clinic-in-bhubaneswar/,2025-10-06,,good-content.json:date,high,2026-08-15,Publication date preserved from structured extraction; no original modified date was supplied.
/concerns/hair-loss-scalp/hair-loss,https://www.radianceclinics.com/post/why-radiance-skin-and-hair-clinic-is-the-best-hair-loss-clinic-in-bhubaneswar/,2022-05-03,,good-content.json:date,high,2026-08-15,Publication date preserved from structured extraction; no original modified date was supplied.
/hair-transplant-bhubaneswar,https://www.radianceclinics.com/post/radiance-clinics-awarded-times-health-icon-for-exceptional-contributions-in-cosmetology-and-hair-transplant/,2024-06-29,,good-content.json:date,high,2026-08-15,Publication date preserved from structured extraction; no original modified date was supplied.
/acne-scar-treatment-bhubaneswar,https://www.radianceclinics.com/acne-scars/,2023-08-10,,good-content.json:date,high,2026-08-15,Publication date preserved from structured extraction; no original modified date was supplied.
/knowledge/advantages-of-online-dermatologist-consultations,https://www.radianceclinics.com/post/advantages-of-online-dermatologist-consultations/,2022-01-31,,good-content.json:date,high,2026-08-15,Publication date preserved from structured extraction; no original modified date was supplied.
/knowledge/luminous-love-laser-facials-for-bridal-skincare-bliss,https://www.radianceclinics.com/post/luminous-love-laser-facials-for-bridal-skincare-bliss/,2023-12-19,,good-content.json:date,high,2026-08-15,Publication date preserved from structured extraction; no original modified date was supplied.
/knowledge/unlocking-the-secrets-of-skincare-and-hair-restoration-a-journey-with-radiance-clinics,https://www.radianceclinics.com/post/unlocking-the-secrets-of-skincare-and-hair-restoration-a-journey-with-radiance-clinics/,2024-01-10,,good-content.json:date,high,2026-08-15,Publication date preserved from structured extraction; no original modified date was supplied.
/knowledge/transformative-insights-from-radiance-clinics-for-skin-and-hair-health,https://www.radianceclinics.com/post/transformative-insights-from-radiance-clinics-for-skin-and-hair-health/,2024-02-28,,good-content.json:date,high,2026-08-15,Publication date preserved from structured extraction; no original modified date was supplied.
