outlet,article URL,backlink present yes/no,current backlink target,desired Radiance target page,outreach priority,verification status,topic,publication date,official logo URL,source record,audited at
99News,https://www.99news.co.in/2026/09/dr-satyartha-prakash-and-new-era-of.html/,no,,/treatments/aesthetic-dermatology,review source,unavailable,Aesthetic Dermatology,,,Dr. Satyartha PrakashSM50.pdf,2026-09-18T16:14:45.010499+00:00
Bharatbizwire,https://www.bharatbizwire.top/2026/09/dr-satyartha-prakash-and-new-era-of.html/,no,,/treatments/aesthetic-dermatology,review source,unavailable,Aesthetic Dermatology,,,Dr. Satyartha PrakashSM50.pdf,2026-09-18T16:14:45.010499+00:00
Bharatheadlines,https://www.bharatheadlines.top/2026/09/dr-satyartha-prakash-and-new-era-of.html/,no,,/treatments/aesthetic-dermatology,review source,unavailable,Aesthetic Dermatology,,,Dr. Satyartha PrakashSM50.pdf,2026-09-18T16:14:45.010499+00:00
Bharathustle,https://www.bharathustle.top/2026/09/dr-satyartha-prakash-and-new-era-of.html/,no,,/treatments/aesthetic-dermatology,review source,unavailable,Aesthetic Dermatology,,,Dr. Satyartha PrakashSM50.pdf,2026-09-18T16:14:45.010499+00:00
Bharatpatrika,https://www.bharatpatrika.top/2026/09/dr-satyartha-prakash-and-new-era-of.html/,no,,/treatments/aesthetic-dermatology,review source,unavailable,Aesthetic Dermatology,,,Dr. Satyartha PrakashSM50.pdf,2026-09-18T16:14:45.010499+00:00
Bharattrendnews,https://www.bharattrendnews.top/2026/09/dr-satyartha-prakash-and-new-era-of.html/,no,,/treatments/aesthetic-dermatology,review source,unavailable,Aesthetic Dermatology,,,Dr. Satyartha PrakashSM50.pdf,2026-09-18T16:14:45.010499+00:00
Bizpatrika,https://www.bizpatrika.top/2026/09/dr-satyartha-prakash-and-new-era-of.html/,no,,/treatments/aesthetic-dermatology,review source,unavailable,Aesthetic Dermatology,,,Dr. Satyartha PrakashSM50.pdf,2026-09-18T16:14:45.010499+00:00
Businesstimes24X7,https://www.businesstimes24x7.co.in/2026/09/dr-satyartha-prakash-and-new-era-of.html/,no,,/treatments/aesthetic-dermatology,review source,unavailable,Aesthetic Dermatology,,,Dr. Satyartha PrakashSM50.pdf,2026-09-18T16:14:45.010499+00:00
Dailydistrictnews,https://www.dailydistrictnews.co.in/2026/09/dr-satyartha-prakash-and-new-era-of.html/,no,,/treatments/aesthetic-dermatology,review source,unavailable,Aesthetic Dermatology,,,Dr. Satyartha PrakashSM50.pdf,2026-09-18T16:14:45.010499+00:00
Dailyfinancewire,https://www.dailyfinancewire.co.in/2026/09/dr-satyartha-prakash-and-new-era-of.html/,no,,/treatments/aesthetic-dermatology,review source,unavailable,Aesthetic Dermatology,,,Dr. Satyartha PrakashSM50.pdf,2026-09-18T16:14:45.010499+00:00
Eastwesttimes,https://www.eastwesttimes.top/2026/09/dr-satyartha-prakash-and-new-era-of.html/,no,,/treatments/aesthetic-dermatology,review source,unavailable,Aesthetic Dermatology,,,Dr. Satyartha PrakashSM50.pdf,2026-09-18T16:14:45.010499+00:00
Echorepublic,https://www.echorepublic.top/2026/09/dr-satyartha-prakash-and-new-era-of.html/,no,,/treatments/aesthetic-dermatology,review source,unavailable,Aesthetic Dermatology,,,Dr. Satyartha PrakashSM50.pdf,2026-09-18T16:14:45.010499+00:00
Indiainsightnews,https://www.indiainsightnews.top/2026/09/dr-satyartha-prakash-and-new-era-of.html/,no,,/treatments/aesthetic-dermatology,review source,unavailable,Aesthetic Dermatology,,,Dr. Satyartha PrakashSM50.pdf,2026-09-18T16:14:45.010499+00:00
Indianeconomicsnews,https://www.indianeconomicsnews.co.in/2026/09/dr-satyartha-prakash-and-new-era-of.html/,no,,/treatments/aesthetic-dermatology,review source,unavailable,Aesthetic Dermatology,,,Dr. Satyartha PrakashSM50.pdf,2026-09-18T16:14:45.010499+00:00
