old_url,old_title,old_topic,old_content_length,new_equivalent,current_http_status,redirect_exists,current_indexed_url,gsc_old_impressions_if_available,gsc_current_impressions,migration_action,priority
https://www.radianceclinics.com/post/what-is-gfc-treatment-and-how-does-it-help-in-hair-regrowth,What Is GFC Treatment And How Does It Help In Hair Regrowth,Hair Loss & Scalp,609,https://www.radianceclinics.com/knowledge/prp-gfc-hair-restoration-guide,not-live-checked,yes,https://www.radianceclinics.com/knowledge/prp-gfc-hair-restoration-guide,2313,40,REDIRECT,P0
https://www.radianceclinics.com/post/what-to-expect-during-your-first-visit-to-a-skin-care-doctor,What to Expect During Your First Visit to a Skin Care Doctor,Skin Health,391,https://www.radianceclinics.com/skin-clinic-bhubaneswar,GSC_404_EXPORT,yes,https://www.radianceclinics.com/skin-clinic-bhubaneswar,1958,1847,REDIRECT,P0
https://www.radianceclinics.com/post/the-key-to-lasting-smoothness-unlock-laser-hair-removal,The Key to Lasting Smoothness: Unlock Laser Hair Removal,Laser Hair Reduction,454,https://www.radianceclinics.com/laser-hair-removal-bhubaneswar,GSC_404_EXPORT,yes,https://www.radianceclinics.com/laser-hair-removal-bhubaneswar,1875,391,REDIRECT,P0
https://www.radianceclinics.com/skin-care-treatments,Skin Care Treatments,Skin Health,601,https://www.radianceclinics.com/skin-clinic-bhubaneswar,not-live-checked,yes,https://www.radianceclinics.com/skin-clinic-bhubaneswar,1578,1847,REDIRECT,P0
https://www.radianceclinics.com/dermatology-clinic-in-bhubaneswar,Dermatology Clinic in Bhubaneswar,Skin Health,513,https://www.radianceclinics.com/skin-clinic-bhubaneswar,not-live-checked,yes,https://www.radianceclinics.com/skin-clinic-bhubaneswar,1278,1847,REDIRECT,P0
https://www.radianceclinics.com/hair-transplant-in-kolkata,Hair Transplant in Kolkata,Hair Transplant,445,https://www.radianceclinics.com/hair-transplant-bhubaneswar,GSC_404_EXPORT,yes,https://www.radianceclinics.com/hair-transplant-bhubaneswar,927,495,REDIRECT,P0
https://www.radianceclinics.com/hair-loss-treatments,Hair Loss Treatments,Hair Loss & Scalp,533,https://www.radianceclinics.com/hair-loss-clinic-bhubaneswar,not-live-checked,yes,,756,0,REDIRECT,P0
https://www.radianceclinics.com/hair-transplant-in-berhampur,Hair Transplant in Berhampur,Hair Transplant,451,https://www.radianceclinics.com/hair-transplant-berhampur,not-live-checked,yes,,683,0,REDIRECT,P0
https://www.radianceclinics.com/hair-patch,Hair Patch and Hair Wig,Other,510,,GSC_404_EXPORT,no,,625,0,VERIFY_SERVICE,P0
https://www.radianceclinics.com/laser-hair-removal-radiance,Laser Hair Removal,Laser Hair Reduction,610,https://www.radianceclinics.com/laser-hair-removal-bhubaneswar,not-live-checked,yes,https://www.radianceclinics.com/laser-hair-removal-bhubaneswar,560,391,REDIRECT,P0
https://www.radianceclinics.com/post/how-many-prp-sessions-are-needed-for-visible-hair-growth,How Many PRP Sessions Are Needed for Visible Hair Growth,Hair Loss & Scalp,433,https://www.radianceclinics.com/treatments/hair-restoration/prp-gfc-scalp-therapy,GSC_404_EXPORT,yes,https://www.radianceclinics.com/treatments/hair-restoration/prp-gfc-scalp-therapy,537,216,REDIRECT,P0
https://www.radianceclinics.com/post/why-radiance-skin-and-hair-clinic-is-the-ideal-choice-for-hair-loss-treatment,Why Radiance Skin and Hair Clinic is the Ideal Choice for Hair Loss Treatment,Hair Loss & Scalp,452,https://www.radianceclinics.com/hair-loss-clinic-bhubaneswar,GSC_404_EXPORT,yes,,440,0,REDIRECT,P0
https://www.radianceclinics.com/post/why-do-some-people-regret-getting-a-hair-transplant-too-early,Why Do Some People Regret Getting a Hair Transplant Too Early,Hair Transplant,542,https://www.radianceclinics.com/hair-transplant-bhubaneswar,GSC_404_EXPORT,yes,https://www.radianceclinics.com/hair-transplant-bhubaneswar,419,495,REDIRECT,P0
https://www.radianceclinics.com/body-piercing,Body Piercing,Clinic & Doctor,413,https://www.radianceclinics.com/about,GSC_404_EXPORT,no,https://www.radianceclinics.com/about,367,104,VERIFY_SERVICE,P0
https://www.radianceclinics.com/contact-us,Contact Us,Clinic & Doctor,75,https://www.radianceclinics.com/contact,not-live-checked,yes,https://www.radianceclinics.com/contact,348,655,REDIRECT,P0
https://www.radianceclinics.com/hair-transplant-in-sambalpur,Hair transplant in Sambalpur,Hair Transplant,412,https://www.radianceclinics.com/hair-transplant-sambalpur,not-live-checked,yes,,329,0,REDIRECT,P0
https://www.radianceclinics.com/hair-transplant-in-cuttack,Hair Transplant in Cuttack,Hair Transplant,501,https://www.radianceclinics.com/hair-transplant-cuttack,not-live-checked,yes,,324,0,REDIRECT,P0
https://www.radianceclinics.com/hair-transplantation,Hair Transplant,Hair Transplant,619,https://www.radianceclinics.com/hair-transplant-bhubaneswar,not-live-checked,yes,https://www.radianceclinics.com/hair-transplant-bhubaneswar,317,495,REDIRECT,P0
https://www.radianceclinics.com/treatment/hairfall/prp,PRP,Hair Loss & Scalp,493,https://www.radianceclinics.com/treatments/hair-restoration/prp-gfc-scalp-therapy,not-live-checked,yes,https://www.radianceclinics.com/treatments/hair-restoration/prp-gfc-scalp-therapy,305,216,REDIRECT,P0
https://www.radianceclinics.com/hair-wig,Hair Wig,Other,559,,GSC_404_EXPORT,no,,303,0,VERIFY_SERVICE,P0
https://www.radianceclinics.com/book-online-radiance-clinics-bhuabaneswar,BOOK A CALL BACK NOW,Clinic & Doctor,47,https://www.radianceclinics.com/contact,GSC_404_EXPORT,yes,https://www.radianceclinics.com/contact,295,655,REDIRECT,P0
https://www.radianceclinics.com/tattoo-removal-radiance,Tattoo Removal,Skin Health,143,https://www.radianceclinics.com/skin-clinic-bhubaneswar,GSC_404_EXPORT,no,https://www.radianceclinics.com/skin-clinic-bhubaneswar,260,1847,VERIFY_SERVICE,P0
https://www.radianceclinics.com/mole-wart-removal,Mole & Wart Removal,General Skin Concerns,565,https://www.radianceclinics.com/wart-removal-bhubaneswar,not-live-checked,yes,,251,0,REDIRECT,P0
https://www.radianceclinics.com/treatment/premium-services/lip-pigmentation,Lip Pigmentation,Pigmentation,176,https://www.radianceclinics.com/pigmentation-treatment-bhubaneswar,GSC_404_EXPORT,no,https://www.radianceclinics.com/pigmentation-treatment-bhubaneswar,250,39,VERIFY_SERVICE,P0
https://www.radianceclinics.com/hair-transplant-in-balasore,Hair Transplant in Balasore,Hair Transplant,540,https://www.radianceclinics.com/hair-transplant-bhubaneswar,GSC_404_EXPORT,yes,https://www.radianceclinics.com/hair-transplant-bhubaneswar,244,495,REDIRECT,P0
https://www.radianceclinics.com/post/acne-check-peel-your-comprehensive-guide-to-clearer-skin,Acne Check Peel: Your Comprehensive Guide to Clearer Skin,Acne,460,https://www.radianceclinics.com/acne-treatment-bhubaneswar,GSC_404_EXPORT,yes,,242,0,REDIRECT,P0
https://www.radianceclinics.com/treatment/non-surgical-facial-enhancements/micro-blading,Micro Blading,Skin Health,302,https://www.radianceclinics.com/skin-clinic-bhubaneswar,GSC_404_EXPORT,no,https://www.radianceclinics.com/skin-clinic-bhubaneswar,233,1847,VERIFY_SERVICE,P0
https://www.radianceclinics.com/weight-loss-radiance,Weight Loss Management,Clinic & Doctor,525,https://www.radianceclinics.com/about,GSC_404_EXPORT,no,https://www.radianceclinics.com/about,227,104,REVIEW_EQUIVALENCE,P0
https://www.radianceclinics.com/hair-transplant-in-angul,Hair Transplant in Angul,Hair Transplant,515,https://www.radianceclinics.com/hair-transplant-bhubaneswar,GSC_404_EXPORT,yes,https://www.radianceclinics.com/hair-transplant-bhubaneswar,227,495,REDIRECT,P0
https://www.radianceclinics.com/laser-re-surfacing,Laser Re-Surfacing,Skin Health,384,https://www.radianceclinics.com/skin-clinic-bhubaneswar,GSC_404_EXPORT,no,https://www.radianceclinics.com/skin-clinic-bhubaneswar,222,1847,REVIEW_EQUIVALENCE,P0
https://www.radianceclinics.com/post/laser-vs-waxing-which-hair-removal-method-is-right-for-you,Laser vs. Waxing: Which Hair Removal Method is Right for You?,Laser Hair Reduction,604,https://www.radianceclinics.com/laser-hair-removal-bhubaneswar,GSC_404_EXPORT,yes,https://www.radianceclinics.com/laser-hair-removal-bhubaneswar,210,391,REDIRECT,P0
https://www.radianceclinics.com/about-us,About Us,Clinic & Doctor,623,https://www.radianceclinics.com/about,not-live-checked,yes,https://www.radianceclinics.com/about,208,104,REDIRECT,P0
https://www.radianceclinics.com/post/where-can-i-get-painless-wart-removal-treatment,Where can I Get Painless Wart Removal Treatment,General Skin Concerns,595,https://www.radianceclinics.com/wart-removal-bhubaneswar,GSC_404_EXPORT,yes,,201,0,REDIRECT,P0
https://www.radianceclinics.com/post/how-long-do-ombre-powder-eyebrows-last,How Long Do Ombre Powder Eyebrows Last?,Clinic & Doctor,554,https://www.radianceclinics.com/about,GSC_404_EXPORT,no,https://www.radianceclinics.com/about,200,104,REVIEW_EQUIVALENCE,P0
https://www.radianceclinics.com/post/hair-treatment-doctor-near-me,Hair Treatment Doctor Near Me,Other,308,,GSC_404_EXPORT,no,,199,0,REBUILD_OR_ARCHIVE,P0
https://www.radianceclinics.com/treatment/unwanted-hair/aft-laser,AFT Laser,Skin Health,164,https://www.radianceclinics.com/skin-clinic-bhubaneswar,not-live-checked,no,https://www.radianceclinics.com/skin-clinic-bhubaneswar,193,1847,REVIEW_EQUIVALENCE,P0
https://www.radianceclinics.com/post/what-makes-bio-hair-transplant-different-from-traditional-methods,What Makes Bio Hair Transplant Different from Traditional Methods,Hair Transplant,481,https://www.radianceclinics.com/hair-transplant-bhubaneswar,GSC_404_EXPORT,no,https://www.radianceclinics.com/hair-transplant-bhubaneswar,171,495,REVIEW_EQUIVALENCE,P0
