query,classification,old_page,current_page,target_page,lost_clicks,old_clicks,current_clicks,old_impressions,current_impressions,old_position,current_position,ctr_change_percentage_points,required_action,priority,evidence,source_window,checked_at
hair transplant in bhubaneswar,CTR_PROBLEM,https://www.radianceclinics.com/,https://www.radianceclinics.com/,/hair-transplant-bhubaneswar,11,17,6,616,635,7.6,6.2,-1.9,Inspect exact query-page mapping and snippet before changing winning title; monitor clicks not sitewide average position,P0,Exact-query Pages: homepage 6 vs 16 clicks; 607 vs 574 impressions; CTR 1% vs 2.8%; page position 3.8 vs 3.3. Query aggregate 6.2 vs 7.6 is not this page's position. Commercial page 23 impressions/position 47.3; FUE page 8/51.5. Preserve winning homepage URL/title; ownership consolidation requires monitoring.,Last 28 complete days compared with previous 28 days; latest complete data through 2026-09-15. Exact custom-date dialog unavailable; retain native report-window labels.,2026-09-18
radiance skin & hair clinics,CTR_PROBLEM,,,/hair-loss-clinic-bhubaneswar,11,55,44,955,872,5.8,6,-0.8,Inspect exact query-page mapping and snippet before changing winning title; monitor clicks not sitewide average position,P0,NOT_JOINED: retrieve exact query Pages report,Last 28 complete days compared with previous 28 days; latest complete data through 2026-09-15. Exact custom-date dialog unavailable; retain native report-window labels.,2026-09-18
best hair transplant in bhubaneswar,CTR_PROBLEM,,,/hair-transplant-bhubaneswar,4,6,2,350,297,15.9,14.7,-1,Inspect exact query-page mapping and snippet before changing winning title; monitor clicks not sitewide average position,P0,NOT_JOINED: retrieve exact query Pages report,Last 28 complete days compared with previous 28 days; latest complete data through 2026-09-15. Exact custom-date dialog unavailable; retain native report-window labels.,2026-09-18
radiance hair transplant,CTR_PROBLEM,,,/hair-transplant-bhubaneswar,4,4,0,115,116,39,34.7,-3.5,Inspect exact query-page mapping and snippet before changing winning title; monitor clicks not sitewide average position,P0,NOT_JOINED: retrieve exact query Pages report,Last 28 complete days compared with previous 28 days; latest complete data through 2026-09-15. Exact custom-date dialog unavailable; retain native report-window labels.,2026-09-18
hair patch in bhubaneswar,WRONG_PAGE_RANKING,https://www.radianceclinics.com/hair-patch/,https://www.radianceclinics.com/,/non-surgical-hair-replacement-bhubaneswar,3,3,0,131,22,5.5,20.9,-2.3,Consolidate legacy coverage URLs; strengthen patch/wig content and incoming links; inspect/request indexing of canonical replacement,P0,Old hair-patch page 3 clicks/101 impressions/position 2.8; homepage currently 17 impressions/position 18.1; transplant page 5 impressions/position 30.4. Canonical replacement absent from this query's page table.,Last 28 complete days compared with previous 28 days; latest complete data through 2026-09-15. Exact custom-date dialog unavailable; retain native report-window labels.,2026-09-18
hair specialist doctor in bhubaneswar,CTR_PROBLEM,,,/hair-loss-clinic-bhubaneswar,3,3,0,198,230,7.1,8,-1.5,Inspect exact query-page mapping and snippet before changing winning title; monitor clicks not sitewide average position,P0,NOT_JOINED: retrieve exact query Pages report,Last 28 complete days compared with previous 28 days; latest complete data through 2026-09-15. Exact custom-date dialog unavailable; retain native report-window labels.,2026-09-18
hair transplant bhubaneswar,CTR_PROBLEM,,,/hair-transplant-bhubaneswar,3,11,8,351,378,6.9,5.7,-1,Inspect exact query-page mapping and snippet before changing winning title; monitor clicks not sitewide average position,P0,NOT_JOINED: retrieve exact query Pages report,Last 28 complete days compared with previous 28 days; latest complete data through 2026-09-15. Exact custom-date dialog unavailable; retain native report-window labels.,2026-09-18
radiance skin and hair clinic bhubaneswar,CTR_PROBLEM,,,/hair-loss-clinic-bhubaneswar,3,11,8,79,61,1.2,1,-0.8,Inspect exact query-page mapping and snippet before changing winning title; monitor clicks not sitewide average position,P0,NOT_JOINED: retrieve exact query Pages report,Last 28 complete days compared with previous 28 days; latest complete data through 2026-09-15. Exact custom-date dialog unavailable; retain native report-window labels.,2026-09-18
hair patch price in bhubaneswar,MIGRATION_REDIRECT_LOSS,,,/non-surgical-hair-replacement-bhubaneswar,1,1,0,19,1,6.8,10,-5.3,Consolidate legacy coverage URLs; strengthen patch/wig content and incoming links; inspect/request indexing of canonical replacement,P0,NOT_JOINED: retrieve exact query Pages report,Last 28 complete days compared with previous 28 days; latest complete data through 2026-09-15. Exact custom-date dialog unavailable; retain native report-window labels.,2026-09-18
hair patch service in bhubaneswar,MIGRATION_REDIRECT_LOSS,,,/non-surgical-hair-replacement-bhubaneswar,1,1,0,31,2,2.4,7.5,-3.2,Consolidate legacy coverage URLs; strengthen patch/wig content and incoming links; inspect/request indexing of canonical replacement,P0,NOT_JOINED: retrieve exact query Pages report,Last 28 complete days compared with previous 28 days; latest complete data through 2026-09-15. Exact custom-date dialog unavailable; retain native report-window labels.,2026-09-18
hair wig for men in bhubaneswar,MIGRATION_REDIRECT_LOSS,,,/non-surgical-hair-replacement-bhubaneswar,1,1,0,6,0,6,,-16.7,Consolidate legacy coverage URLs; strengthen patch/wig content and incoming links; inspect/request indexing of canonical replacement,P0,NOT_JOINED: retrieve exact query Pages report,Last 28 complete days compared with previous 28 days; latest complete data through 2026-09-15. Exact custom-date dialog unavailable; retain native report-window labels.,2026-09-18
hair wig in bhubaneswar,WRONG_PAGE_RANKING,https://www.radianceclinics.com/hair-wig/,https://www.radianceclinics.com/,/non-surgical-hair-replacement-bhubaneswar,1,1,0,27,2,6,17,-3.7,Consolidate legacy coverage URLs; strengthen patch/wig content and incoming links; inspect/request indexing of canonical replacement,P0,Old wig page 1 click/23 impressions/position 4.6; homepage currently 2 impressions/position 17. Canonical replacement absent.,Last 28 complete days compared with previous 28 days; latest complete data through 2026-09-15. Exact custom-date dialog unavailable; retain native report-window labels.,2026-09-18
hair patch bhubaneswar,MIGRATION_REDIRECT_LOSS,,,/non-surgical-hair-replacement-bhubaneswar,0,0,0,23,18,8.3,13.3,0,Consolidate legacy coverage URLs; strengthen patch/wig content and incoming links; inspect/request indexing of canonical replacement,P0,NOT_JOINED: retrieve exact query Pages report,Last 28 complete days compared with previous 28 days; latest complete data through 2026-09-15. Exact custom-date dialog unavailable; retain native report-window labels.,2026-09-18
aesthetic clinic bhubaneswar,CTR_PROBLEM,,,/treatments/aesthetic-dermatology,2,2,0,38,42,8.1,9.1,-5.3,Inspect exact query-page mapping and snippet before changing winning title; monitor clicks not sitewide average position,P1,NOT_JOINED: retrieve exact query Pages report,Last 28 complete days compared with previous 28 days; latest complete data through 2026-09-15. Exact custom-date dialog unavailable; retain native report-window labels.,2026-09-18
best hair doctor in bhubaneswar,CTR_PROBLEM,,,/hair-loss-clinic-bhubaneswar,2,3,1,328,229,5.7,5.7,-0.5,Inspect exact query-page mapping and snippet before changing winning title; monitor clicks not sitewide average position,P1,NOT_JOINED: retrieve exact query Pages report,Last 28 complete days compared with previous 28 days; latest complete data through 2026-09-15. Exact custom-date dialog unavailable; retain native report-window labels.,2026-09-18
hair clinic bhubaneswar,WRONG_PAGE_RANKING,,,/hair-loss-clinic-bhubaneswar,2,3,1,144,95,3,6.6,-1,Inspect exact query-page mapping and snippet before changing winning title; monitor clicks not sitewide average position,P1,NOT_JOINED: retrieve exact query Pages report,Last 28 complete days compared with previous 28 days; latest complete data through 2026-09-15. Exact custom-date dialog unavailable; retain native report-window labels.,2026-09-18
hair specialist in bhubaneswar,NORMAL_VOLATILITY,,,/hair-loss-clinic-bhubaneswar,2,2,0,220,152,11.5,14,-0.9,Inspect exact query-page mapping and snippet before changing winning title; monitor clicks not sitewide average position,P1,NOT_JOINED: retrieve exact query Pages report,Last 28 complete days compared with previous 28 days; latest complete data through 2026-09-15. Exact custom-date dialog unavailable; retain native report-window labels.,2026-09-18
laser hair removal in bhubaneswar,NORMAL_VOLATILITY,,,/laser-hair-removal-bhubaneswar,2,2,0,148,109,15.1,17.3,-1.4,Inspect exact query-page mapping and snippet before changing winning title; monitor clicks not sitewide average position,P1,NOT_JOINED: retrieve exact query Pages report,Last 28 complete days compared with previous 28 days; latest complete data through 2026-09-15. Exact custom-date dialog unavailable; retain native report-window labels.,2026-09-18
microblading eyebrows in bhubaneswar,CTR_PROBLEM,,,,2,2,0,30,30,2.6,1,-6.7,Obtain current doctor-approved service scope; do not recreate outdated medical claims,P1,NOT_JOINED: retrieve exact query Pages report,Last 28 complete days compared with previous 28 days; latest complete data through 2026-09-15. Exact custom-date dialog unavailable; retain native report-window labels.,2026-09-18
radiance skin & hair clinics bhubaneswar,CTR_PROBLEM,,,/hair-loss-clinic-bhubaneswar,2,3,1,26,25,1.2,1,-7.5,Inspect exact query-page mapping and snippet before changing winning title; monitor clicks not sitewide average position,P1,NOT_JOINED: retrieve exact query Pages report,Last 28 complete days compared with previous 28 days; latest complete data through 2026-09-15. Exact custom-date dialog unavailable; retain native report-window labels.,2026-09-18
services offered by radiance skin & hair clinics,CTR_PROBLEM,,,/hair-loss-clinic-bhubaneswar,2,3,1,41,41,2,1.1,-4.9,Inspect exact query-page mapping and snippet before changing winning title; monitor clicks not sitewide average position,P1,NOT_JOINED: retrieve exact query Pages report,Last 28 complete days compared with previous 28 days; latest complete data through 2026-09-15. Exact custom-date dialog unavailable; retain native report-window labels.,2026-09-18
best dermatologist bhubaneswar,CTR_PROBLEM,,,/skin-clinic-bhubaneswar,1,2,1,167,148,6.9,6.6,-0.5,Inspect exact query-page mapping and snippet before changing winning title; monitor clicks not sitewide average position,P1,NOT_JOINED: retrieve exact query Pages report,Last 28 complete days compared with previous 28 days; latest complete data through 2026-09-15. Exact custom-date dialog unavailable; retain native report-window labels.,2026-09-18
best hair transplant clinic in bhubaneswar,WRONG_PAGE_RANKING,,,/hair-transplant-bhubaneswar,1,4,3,323,223,8.9,15.6,0.1,Inspect exact query-page mapping and snippet before changing winning title; monitor clicks not sitewide average position,P1,NOT_JOINED: retrieve exact query Pages report,Last 28 complete days compared with previous 28 days; latest complete data through 2026-09-15. Exact custom-date dialog unavailable; retain native report-window labels.,2026-09-18
dr satyartha prakash,CTR_PROBLEM,,,/about,1,2,1,19,19,2.1,2.5,-5.2,Inspect exact query-page mapping and snippet before changing winning title; monitor clicks not sitewide average position,P1,NOT_JOINED: retrieve exact query Pages report,Last 28 complete days compared with previous 28 days; latest complete data through 2026-09-15. Exact custom-date dialog unavailable; retain native report-window labels.,2026-09-18
radiance hair clinic,NORMAL_VOLATILITY,,,/hair-loss-clinic-bhubaneswar,1,3,2,159,96,35.8,33.9,0.2,Inspect exact query-page mapping and snippet before changing winning title; monitor clicks not sitewide average position,P1,NOT_JOINED: retrieve exact query Pages report,Last 28 complete days compared with previous 28 days; latest complete data through 2026-09-15. Exact custom-date dialog unavailable; retain native report-window labels.,2026-09-18
dermatologist in bhubaneswar,NORMAL_VOLATILITY,https://www.radianceclinics.com/,https://www.radianceclinics.com/,/skin-clinic-bhubaneswar,0,0,0,276,324,8.9,8.9,0,Preserve existing URL/title; add contextual links to canonical owner and monitor,P1,Homepage 324 current vs 276 previous impressions; position 8.9 both periods. This is not evidence of deindexing.,Last 28 complete days compared with previous 28 days; latest complete data through 2026-09-15. Exact custom-date dialog unavailable; retain native report-window labels.,2026-09-18
hair transplant in rourkela,NORMAL_VOLATILITY,,,/hair-transplant-rourkela,0,0,0,14,15,12,7.4,0,Preserve existing URL/title; add contextual links to canonical owner and monitor,P1,NOT_JOINED: retrieve exact query Pages report,Last 28 complete days compared with previous 28 days; latest complete data through 2026-09-15. Exact custom-date dialog unavailable; retain native report-window labels.,2026-09-18
skin care doctor bhubaneswar,NORMAL_VOLATILITY,,,/skin-clinic-bhubaneswar,0,,,,,,,,"Retrieve exact-query export/API data; strengthen existing skin owner, no duplicate page",P1,,Last 28 complete days compared with previous 28 days; latest complete data through 2026-09-15. Exact custom-date dialog unavailable; retain native report-window labels.,2026-09-18
skin specialist in bhubaneswar,NORMAL_VOLATILITY,https://www.radianceclinics.com/,https://www.radianceclinics.com/,/skin-clinic-bhubaneswar,0,0,0,81,156,14.4,10.7,0,Preserve existing URL/title; add contextual links to canonical owner and monitor,P1,Homepage 156 current vs 81 previous impressions; position improved 14.4 to 10.7.,Last 28 complete days compared with previous 28 days; latest complete data through 2026-09-15. Exact custom-date dialog unavailable; retain native report-window labels.,2026-09-18
weight loss clinic bhubaneswar,NORMAL_VOLATILITY,,,,0,,,,,,,,Confirm current medical weight management versus cosmetic contouring before publication,P1,,Last 28 complete days compared with previous 28 days; latest complete data through 2026-09-15. Exact custom-date dialog unavailable; retain native report-window labels.,2026-09-18
