query,intent,old_url,current_url,old_clicks,current_clicks,old_impressions,current_impressions,old_position,current_position,position_delta,old_ctr,current_ctr,click_loss,migration_issue,cannibalisation,preferred_target_url,recommended_action,priority
radiance skin & hair clinics,branded,,,95,55,1416,924,4.06,5.92,1.86,6.71,5.95,40,CTR or demand decline requiring validation,not established,,Validate query-to-page ownership before changing content,P0
dermatologist in bhubaneswar,local commercial,https://www.radianceclinics.com/,https://www.radianceclinics.com/skin-clinic-bhubaneswar,3,0,257,288,8.85,8.72,-0.13,1.17,0.00,3,old or non-preferred URL still ranking,homepage owns broad intent,https://www.radianceclinics.com/skin-clinic-bhubaneswar,INTERNAL_LINK,P0
tattoo removal bhubaneswar,local commercial,https://www.radianceclinics.com/tattoo-removal-radiance/,https://www.radianceclinics.com/tattoo-removal-bhubaneswar,3,1,114,57,5.75,6.63,0.88,2.63,1.75,2,old or non-preferred URL still ranking,legacy tattoo removal URL owns historical visibility,https://www.radianceclinics.com/tattoo-removal-bhubaneswar,REDIRECT_AND_INTERNAL_LINK,P0
hair transplant in berhampur,local outstation,https://www.radianceclinics.com/hair-transplant-in-berhampur/,https://www.radianceclinics.com/hair-transplant-berhampur,2,0,66,22,4.45,5.73,1.28,3.03,0.00,2,old or non-preferred URL still ranking,legacy page has current visibility,https://www.radianceclinics.com/hair-transplant-berhampur,REDIRECT,P0
tattoo removal in bhubaneswar,local commercial,https://www.radianceclinics.com/tattoo-removal-radiance/,https://www.radianceclinics.com/tattoo-removal-bhubaneswar,2,0,39,20,8.21,9.05,0.84,5.13,0.00,2,old or non-preferred URL still ranking,legacy tattoo removal URL owns historical visibility,https://www.radianceclinics.com/tattoo-removal-bhubaneswar,REDIRECT_AND_INTERNAL_LINK,P0
botox treatment in bhubaneswar,local commercial,https://www.radianceclinics.com/post/a-complete-guide-to-know-about-botox-treatment/,https://www.radianceclinics.com/botox-treatment-bhubaneswar,2,0,72,66,12.17,16.55,4.38,2.78,0.00,2,old or non-preferred URL still ranking,homepage and legacy article share intent,https://www.radianceclinics.com/botox-treatment-bhubaneswar,REDIRECT_AND_INTERNAL_LINK,P0
hair patch price in bhubaneswar,commercial investigation,https://www.radianceclinics.com/hair-patch/,https://www.radianceclinics.com/non-surgical-hair-replacement-bhubaneswar,2,0,18,17,7.00,6.88,-0.12,11.11,0.00,2,old or non-preferred URL still ranking,legacy hair-patch URL is returning 404,https://www.radianceclinics.com/non-surgical-hair-replacement-bhubaneswar,REDIRECT_AND_INTERNAL_LINK,P0
best dermatologist in bhubaneswar,local commercial,https://www.radianceclinics.com/,https://www.radianceclinics.com/skin-clinic-bhubaneswar,2,0,516,531,6.39,6.31,-0.08,0.39,0.00,2,old or non-preferred URL still ranking,homepage owns broad intent,https://www.radianceclinics.com/skin-clinic-bhubaneswar,INTERNAL_LINK,P0
hair transplant clinic in bhubaneswar,local commercial,https://www.radianceclinics.com/,https://www.radianceclinics.com/hair-transplant-bhubaneswar,3,1,279,340,10.29,11.17,0.88,1.08,0.29,2,old or non-preferred URL still ranking,homepage and legacy URLs share intent,https://www.radianceclinics.com/hair-transplant-bhubaneswar,INTERNAL_LINK,P0
hair patch bhubaneswar,local commercial,https://www.radianceclinics.com/hair-patch/,https://www.radianceclinics.com/non-surgical-hair-replacement-bhubaneswar,1,0,40,19,5.70,9.05,3.35,2.50,0.00,1,old or non-preferred URL still ranking,legacy hair-patch URL is returning 404,https://www.radianceclinics.com/non-surgical-hair-replacement-bhubaneswar,REDIRECT_AND_INTERNAL_LINK,P0
