video_id,video_url,title,published_at,primary_topic,primary_destination,secondary_destination_1,secondary_destination_2,embed_type,video_schema,transcript_used,notes
sBVuXKjqcmM,https://www.youtube.com/watch?v=sBVuXKjqcmM,Cheap or Expensive Hair Transplant? 🤔 Which One Should You Choose?,2026-08-20,Hair Transplant,/hair-transplant-bhubaneswar,/concerns/hair-transplant,/treatments/hair-restoration/fue-hair-transplant,youtube-nocookie-facade,true,false,Public metadata mapped to a visible contextual destination.
PhbvumkbZBs,https://www.youtube.com/watch?v=PhbvumkbZBs,Hair Transplant Day by Day After Care Guide | Do’s & Don’ts After Hair Transplant,2026-08-13,Hair Transplant,/hair-transplant-bhubaneswar,/concerns/hair-transplant,/treatments/hair-restoration/fue-hair-transplant,youtube-nocookie-facade,true,false,Public metadata mapped to a visible contextual destination.
TNcrKs-6i78,https://www.youtube.com/watch?v=TNcrKs-6i78,"White Hair at a Young Age? Causes, Treatment & Prevention Explained",2026-08-03,Hair Loss,/concerns/hair-loss-scalp,/treatments/hair-restoration/advanced-hair-fall-solutions,/knowledge/how-to-plan-hair-restoration,youtube-nocookie-facade,true,false,Public metadata mapped to a visible contextual destination.
xfxdFPkRLqU,https://www.youtube.com/watch?v=xfxdFPkRLqU,😟 ମୁହଁରେ Acne Scars କାହିଁକି ହୁଏ? ଏହାକୁ ସମ୍ପୂର୍ଣ୍ଣ ଭଲ କରିହେବ କି?Consultation:9238321888 | 9238122550,2026-08-01,Acne Scars,/acne-scar-treatment-bhubaneswar,/concerns/acne-scars,/treatments/skin-laser/acne-scar-revision,youtube-nocookie-facade,true,false,Public metadata mapped to a visible contextual destination.
MrMZVFY1XtI,https://www.youtube.com/watch?v=MrMZVFY1XtI,ହେୟାର ଲସ୍ ରୋକିବା ପାଇଁ ସବୁଠୁ ଭଲ ଟ୍ରିଟମେଣ୍ଟ କ’ଣ?Hair Loss Treatment Explained by Dr. Satyartha Prakash,2026-07-27,Hair Loss,/concerns/hair-loss-scalp,/treatments/hair-restoration/advanced-hair-fall-solutions,/knowledge/how-to-plan-hair-restoration,youtube-nocookie-facade,true,false,Public metadata mapped to a visible contextual destination.
e1_CJ4QjtaU,https://www.youtube.com/watch?v=e1_CJ4QjtaU,Is Hair Transplant Painful? Doctor Reveals the Truth!,2026-07-21,Hair Transplant,/hair-transplant-bhubaneswar,/concerns/hair-transplant,/treatments/hair-restoration/fue-hair-transplant,youtube-nocookie-facade,true,false,Public metadata mapped to a visible contextual destination.
wPWhW8dRSsU,https://www.youtube.com/watch?v=wPWhW8dRSsU,କେଶ ପତଳା ସମସ୍ୟାରୁ ମିଳିଲା ସ୍ଥାୟୀ ସମାଧାନ! (Permanent solution found for hair thinning problem),2026-07-18,Hair Transplant,/hair-transplant-bhubaneswar,/concerns/hair-transplant,/treatments/hair-restoration/fue-hair-transplant,youtube-nocookie-facade,true,false,Public metadata mapped to a visible contextual destination.
Lu8PX0YsIpU,https://www.youtube.com/watch?v=Lu8PX0YsIpU,5 Main Reasons for Hair Fall,2026-07-16,Hair Loss,/concerns/hair-loss-scalp,/treatments/hair-restoration/advanced-hair-fall-solutions,/knowledge/how-to-plan-hair-restoration,youtube-nocookie-facade,true,false,Public metadata mapped to a visible contextual destination.
oldQHZHGe7E,https://www.youtube.com/watch?v=oldQHZHGe7E,Watch This BEFORE Starting Acne Treatment! 🛑 Real Patient Results.,2026-07-13,Acne,/results,/concerns/acne,/skin-clinic-bhubaneswar,youtube-nocookie-facade,true,false,Metadata mapped; editorial verification required before case association.
C7VHHk1lhmM,https://www.youtube.com/watch?v=C7VHHk1lhmM,"Before You Get a Facial, Watch This! | Benefits, Risks & Common Mistakes",2026-07-10,Skin Health,/skin-clinic-bhubaneswar,/concerns/skin-texture,/knowledge/skin-care-doctor-bhubaneswar,youtube-nocookie-facade,true,false,Public metadata mapped to a visible contextual destination.
